id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1991-06-02,Thailand,../vs/tha.html,H,W,1 - 0,0602.html,"21,000",Yamagata,Kirin Cup Soccer
2,1991-07-27,Korea Republic,../vs/kor.html,H,L,0 - 1,0727.html,"13,000",Isahaya,Japan-Korea Annual Match
