id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1963-08-08,Malaysia,../vs/mas.html,A,W,4 - 3,0808.html,Kuala Lumpur,Merdeka Tournament
2,1963-08-10,Thailand,../vs/tha.html,N,W,4 - 1,0810.html,Kuala Lumpur,Merdeka Tournament
3,1963-08-12,South Vietnam,../vs/vso.html,N,W,5 - 1,0812.html,Kuala Lumpur,Merdeka Tournament
4,1963-08-13,Korea Republic,../vs/kor.html,N,D,1 - 1,0813.html,"15,000",Kuala Lumpur,Merdeka Tournament
5,1963-08-15,Taiwan,../vs/tpe.html,N,L,0 - 2,0815.html,"30,000",Kuala Lumpur,Merdeka Tournament
