id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1923-05-23,Philippines,../vs/phi.html,H,L,1 - 2,0523.html,Osaka,Far Eastern Championship Games,../competitions/far_eastern_championship_games.html
2,1923-05-24,Republic of China,../vs/tpe.html,H,L,1 - 5,0524.html,Osaka,Far Eastern Championship Games,../competitions/far_eastern_championship_games.html
