id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,2003-03-28,Uruguay,../vs/uru.html,H,D,2 - 2,0328.html,"54,039",Tokyo,International Friendly
2,2003-04-16,Korea Republic,../vs/kor.html,A,W,1 - 0,0416.html,"64,703",Seoul,International Friendly
3,2003-05-31,Korea Republic,../vs/kor.html,H,L,0 - 1,0531.html,"53,405",Tokyo,International Friendly
4,2003-06-08,Argentina,../vs/arg.html,H,L,1 - 4,0608.html,"42,508",Osaka,Kirin Cup Soccer
5,2003-06-11,Paraguay,../vs/par.html,H,D,0 - 0,0611.html,"59,891",Saitama,Kirin Cup Soccer
6,2003-06-18,New Zealand,../vs/nzl.html,N,W,3 - 0,0618.html,"36,038",Saint-Denis,FIFA Confederations Cup,../competitions/fifa_confederations_cup.html
7,2003-06-20,France,../vs/fra.html,A,L,1 - 2,0620.html,"33,070",Saint-Etienne,FIFA Confederations Cup,../competitions/fifa_confederations_cup.html
8,2003-06-22,Colombia,../vs/col.html,N,L,0 - 1,0622.html,"24,541",Saint-Etienne,FIFA Confederations Cup,../competitions/fifa_confederations_cup.html
9,2003-08-20,Nigeria,../vs/nga.html,H,W,3 - 0,0820.html,"54,660",Tokyo,Kirin Challenge Cup
10,2003-09-10,Senegal,../vs/sen.html,H,L,0 - 1,0910.html,"40,104",Niigata,Kirin Challenge Cup
11,2003-10-08,Tunisia,../vs/tun.html,A,W,1 - 0,1008.html,"10,000",Tunis,International Friendly
12,2003-10-11,Romania,../vs/rou.html,A,D,1 - 1,1011.html,"7,000",Bucharest,International Friendly
13,2003-11-19,Cameroon,../vs/cmr.html,H,D,0 - 0,1119.html,"38,627",Oita,Kirin Challenge Cup
14,2003-12-04,China PR,../vs/chn.html,H,W,2 - 0,1204.html,"41,742",Tokyo,East Asian Football Championship,../competitions/eaff_east_asian_cup.html
15,2003-12-07,Hong Kong,../vs/hkg.html,H,W,1 - 0,1207.html,"45,145",Saitama,East Asian Football Championship,../competitions/eaff_east_asian_cup.html
16,2003-12-10,Korea Republic,../vs/kor.html,H,D,0 - 0,1210.html,"62,633",Yokohama,East Asian Football Championship,../competitions/eaff_east_asian_cup.html
