id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1965-03-14,Hong Kong,../vs/hkg.html,A,W,2 - 1,0314.html,"25,000",Hong Kong,International Friendly
2,1965-03-22,Burma,../vs/mya.html,A,D,1 - 1,0322.html,"40,000",Rangoon,International Friendly
3,1965-03-25,Singapore,../vs/sin.html,A,W,4 - 1,0325.html,"10,000",Singapore,International Friendly
4,1965-03-27,Malaysia,../vs/mas.html,A,D,1 - 1,0327.html,"8,000",Kuala Lumpur,International Friendly
