id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1958-05-26,Philippines,../vs/phi.html,H,L,0 - 1,0526.html,Tokyo,Asian Games,../competitions/asian_games.html
2,1958-05-28,Hong Kong,../vs/hkg.html,H,L,0 - 2,0528.html,Tokyo,Asian Games,../competitions/asian_games.html
3,1958-12-25,Hong Kong,../vs/hkg.html,A,L,2 - 5,1225.html,"21,000",Hong Kong,International Friendly
4,1958-12-28,Malaya,../vs/mas.html,A,L,2 - 6,1228.html,"65,000",Kuala Lumpur,International Friendly
