id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1986-07-25,Syria,../vs/syr.html,N,W,2 - 1,0725.html,Kuala Lumpur,Merdeka Tournament
2,1986-08-01,Malaysia,../vs/mas.html,A,L,1 - 2,0801.html,Kuala Lumpur,Merdeka Tournament
3,1986-09-20,Nepal,../vs/nep.html,N,W,5 - 0,0920.html,Daejeon,Asian Games,../competitions/asian_games.html
4,1986-09-22,Iran,../vs/irn.html,N,L,0 - 2,0922.html,Daejeon,Asian Games,../competitions/asian_games.html
5,1986-09-24,Kuwait,../vs/kuw.html,N,L,0 - 2,0924.html,Daejeon,Asian Games,../competitions/asian_games.html
6,1986-09-28,Bangladesh,../vs/ban.html,N,W,4 - 0,0928.html,Daejeon,Asian Games,../competitions/asian_games.html
