id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1980-03-22,Korea Republic,../vs/kor.html,N,L,1 - 3,0322.html,"20,000",Kuala Lumpur,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
2,1980-03-24,Philippines,../vs/phi.html,N,W,10 - 0,0324.html,"10,000",Kuala Lumpur,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
3,1980-03-28,Indonesia,../vs/idn.html,N,W,2 - 0,0328.html,"4,000",Kuala Lumpur,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
4,1980-03-30,Malaysia,../vs/mas.html,A,D,1 - 1,0330.html,"40,000",Kuala Lumpur,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
5,1980-04-02,Brunei Darussalam,../vs/bru.html,N,W,2 - 1,0402.html,"15,000",Kuala Lumpur,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
6,1980-06-09,Hong Kong,../vs/hkg.html,N,W,3 - 1,0609.html,Guangzhou,Guangzhou International Football Tournament
7,1980-06-11,China PR,../vs/chn.html,A,L,0 - 1,0611.html,"28,000",Guangzhou,Guangzhou International Football Tournament
8,1980-06-18,Hong Kong,../vs/hkg.html,N,W,2 - 0,0618.html,Guangzhou,Guangzhou International Football Tournament
9,1980-12-22,Singapore,../vs/sin.html,N,W,1 - 0,1222.html,Hong Kong,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
10,1980-12-26,China PR,../vs/chn.html,N,L,0 - 1,1226.html,"16,900",Hong Kong,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
11,1980-12-28,Macau,../vs/mac.html,N,W,3 - 0,1228.html,"27,629",Hong Kong,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
12,1980-12-30,Korea DPR,../vs/prk.html,N,L,0 - 1,1230.html,"8,266",Hong Kong,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
