id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1987-04-08,Indonesia,../vs/idn.html,H,W,3 - 0,0408.html,"13,000",Tokyo,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
2,1987-04-12,Singapore,../vs/sin.html,H,W,1 - 0,0412.html,"13,000",Tokyo,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
3,1987-05-27,Senegal,../vs/sen.html,H,D,2 - 2,0527.html,"8,000",Hiroshima,Kirin Cup Soccer
4,1987-06-14,Singapore,../vs/sin.html,A,W,1 - 0,0614.html,"7,318",Singapore,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
5,1987-06-26,Indonesia,../vs/idn.html,A,W,2 - 1,0626.html,Jakarta,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
6,1987-09-02,Thailand,../vs/tha.html,A,D,0 - 0,0902.html,"25,000",Bangkok,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
7,1987-09-15,Nepal,../vs/nep.html,H,W,5 - 0,0915.html,"11,000",Tokyo,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
8,1987-09-18,Nepal,../vs/nep.html,H,W,9 - 0,0918.html,"6,000",Tokyo,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
9,1987-09-26,Thailand,../vs/tha.html,H,W,1 - 0,0926.html,"15,000",Tokyo,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
10,1987-10-04,China PR,../vs/chn.html,A,W,1 - 0,1004.html,"60,000",Guangzhou,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
11,1987-10-26,China PR,../vs/chn.html,H,L,0 - 2,1026.html,"50,000",Tokyo,Summer Olympics Qualifier,../competitions/summer_olympics_qualification.html
