Player,Link,Club,MP,GP,GS,G,PK,YC,RC
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,540,6,6,0,0,0,0
ARAI Kozo,../players/arai_kozo.html,Furukawa Electric,360,4,4,0,0,0,0
ASHIKAGA Michio,../players/ashikaga_michio.html,Mitsubishi Heavy Industries,?,1,1,0,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,46,1,1,0,0,0,0
FURUTA Atsuyoshi,../players/furuta_atsuyoshi.html,Waseda University,?,1,?,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,450+?,6,5+?,8,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,360+?,5,5,0,0,0,0
KAWAKAMI Nobuo,../players/kawakami_nobuo.html,Hitachi,90,1,1,0,0,0,0
KIKUGAWA Yoshio,../players/kikugawa_yoshio.html,Mitsubishi Heavy Industries,90+?,2,1+?,0,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,360,4,4,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Nippon Steel,237+?,6,5+?,1,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,108+?,3,1+?,0,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,180+?,4,2+?,1,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,360+?,5,4+?,2,1,0,0
ONO Takeshi,../players/ono_takeshi.html,Toyo Kogyo,?,2,0+?,0,0,0,0
SAKIYA Seiichi,../players/sakiya_seiichi.html,Nippon Steel,?,2,0,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Mitsubishi Heavy Industries,450+?,6,5+?,2,0,0,0
TOMIZAWA Kiyoshi,../players/tomizawa_kiyoshi.html,Nippon Steel,252,3,3,2,0,0,0
UEDA Tadahiko,../players/ueda_tadahiko.html,Nippon Steel,90+?,3,1+?,0,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Hitachi,360+?,6,5+?,0,0,0,0
YOSHIMURA Nelson,../players/yoshimura_daishiro.html,Yanmar,167+?,6,2+?,2,0,0,0
