Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Lierse SK (BEL) → Standard Liege (BEL),990,11,11,0,0,0,0
NISHIKAWA Shusaku (GK),../players/nishikawa_shusaku.html,Sanfrecce Hiroshima,90,1,1,0,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,982,11,11,1,0,0,0
FUJIMOTO Jungo,../players/fujimoto_jungo.html,Nagoya Grampus,139,3,2,1,0,0,0
HASEBE Makoto,../players/hasebe_makoto.html,VfL Wolfsburg (GER),818,11,11,0,0,2,0
HAVENAAR Mike,../players/havenaar_mike.html,Vitesse (NED),242,4,3,1,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,CSKA Moskva (RUS),735,9,9,4,1,1,0
HOSOGAI Hajime,../players/hosogai_hajime.html,FC Augsburg (GER) → Leverkusen (GER),228,8,1,0,0,0,0
INOHA Masahiko,../players/inoha_masahiko.html,Vissel Kobe,314,7,4,0,0,0,0
INUI Takashi,../players/inui_takashi.html,VfL Bochum (GER) → Eintracht Frankfurt (GER),103,3,0,0,0,0,0
ISHIKAWA Naohiro,../players/ishikawa_naohiro.html,FC Tokyo,26,1,0,0,0,0,0
KAGAWA Shinji,../players/kagawa_shinji.html,Dortmund (GER) → Manchester U (ENG),737,9,9,3,0,0,0
KASHIWAGI Yosuke,../players/kashiwagi_yosuke.html,Urawa Reds,46,1,1,0,0,0,0
KIYOTAKE Hiroshi,../players/kiyotake_hiroshi.html,Cerezo Osaka → 1. FC Nuremberg (GER),464,7,5,1,0,0,0
KOMANO Yuichi,../players/komano_yuichi.html,Jubilo Iwata,338,5,4,0,0,0,0
KONDO Naoya,../players/kondo_naoya.html,Kashiwa Reysol,14,1,0,0,0,0,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,Gamba Osaka,694,8,8,0,0,1,0
KURIHARA Yuzo,../players/kurihara_yuzo.html,Yokohama F. Marinos,302,5,3,2,0,2,1
LEE Tadanari,../players/lee_tadanari.html,Southampton (ENG),25,1,0,0,0,0,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,640,8,7,4,0,0,0
MAKINO Tomoaki,../players/makino_tomoaki.html,Urawa Reds,96,3,1,1,0,1,0
MASUDA Chikashi,../players/masuda_chikashi.html,Kashima Antlers,90,1,1,0,0,0,0
MIYAICHI Ryo,../players/miyaichi_ryo.html,Bolton Wanderers (ENG) → Wigan (ENG),29,2,0,0,0,0,0
MIZUMOTO Hiroki,../players/mizumoto_hiroki.html,Sanfrecce Hiroshima,88,2,0,0,0,0,0
MORIMOTO Takayuki,../players/morimoto_takayuki.html,Novara (ITA),37,1,1,0,0,0,0
MORIWAKI Ryota,../players/moriwaki_ryota.html,Sanfrecce Hiroshima,8,1,0,0,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,Inter Milan (ITA),893,10,10,0,0,0,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,243,7,2,0,0,0,0
OKAZAKI Shinji,../players/okazaki_shinji.html,VfB Stuttgart (GER),727,9,8,3,0,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,Vissel Kobe,46,1,1,0,0,1,0
SAKAI Gotoku,../players/sakai_gotoku.html,VfB Stuttgart (GER),37,2,0,0,0,0,0
SAKAI Hiroki,../players/sakai_hiroki.html,Kashiwa Reysol → Hannover 96 (GER),393,7,3,0,0,0,0
TAKAHASHI Hideto,../players/takahashi_hideto.html,FC Tokyo,52,4,0,0,0,0,0
TANAKA Junya,../players/tanaka_junya.html,Kashiwa Reysol,44,1,0,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Schalke 04 (GER),406,7,6,0,0,2,0
YOSHIDA Maya,../players/yoshida_maya.html,VVV Venlo (NED) → Southampton (ENG),763,9,9,0,0,0,0
