Player,Link,Club,MP,GP,GS,G,PK,YC,RC
IKOMA Tomohiko (GK),../players/ikoma_tomohiko.html,Kwansei Gakuin University → New Mitsubishi Heavy Industries,326,5,5,0,0,0,0
SHIMOMURA Yukio (GK),../players/shimomura_yukio.html,Toyo Kogyo,44,1,0,0,0,0,0
AOKI Yozo,../players/aoki_yozo.html,Chiyoda Life,70,1,1,0,0,0,0
FUKUHARA Reizo,../players/fukuhara_reizo.html,Tokyo University of Education,70+?,2,1,0,0,0,0
HIRAKI Ryuzo,../players/hiraki_ryuzo.html,Kwansei Gakuin University,300,4,4,0,0,0,0
IWABUCHI Isao,../players/iwabuchi_isao.html,Keio University,210,3,3,1,0,0,0
IWATANI Toshio,../players/iwatani_toshio.html,Osaka Club,70+?,2,2,0,0,0,0
KAGEYAMA Yasuo,../players/takamori_yasuo.html,Rikkyo University,370,5,5,0,0,0,0
KIMURA Arawa,../players/kimura_arawa.html,Kwangaku Club,300,4,4,1,0,0,0
MATSUNAGA Nobuo,../players/matsunaga_nobuo.html,Nippon Light Metal,90,1,1,0,0,0,0
MIMURA Kakuichi,../players/mimura_kakuichi.html,Toho Titanium,280,4,4,0,0,0,0
OKAMOTO Hisataka,../players/okamoto_hisataka.html,Kwansei Gakuin University,370,5,5,0,0,0,0
OKANO Shunichiro,../players/okano_shunichiro.html,University of Tokyo,140,2,2,0,0,0,0
SATO Hiroaki,../players/sato_hiroaki.html,Kwansei Gakuin University → Kwangaku Club,370,5,5,0,0,0,0
TAKABAYASHI Takashi,../players/takabayashi_takashi.html,Tanabe Seiyaku,280+?,5,5,0,0,0,0
TANAKA Yasukazu,../players/tanaka_yasukazu.html,Chuo University,210+?,4,3,0,0,0,0
TOKITA Masanori,../players/tokita_masanori.html,Tanabe Seiyaku,90,1,1,0,0,0,0
TOKUHIRO Takashi,../players/tokuhiro_takashi.html,Yuasa Batteries,90,1,1,0,0,0,0
UCHINO Masao,../players/uchino_masao.html,Chuo University,140+?,4,3,1,0,0,0
