Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KOJIMA Nobuyuki (GK),../players/kojima_nobuyuki.html,Bellmare Hiratsuka,90,1,1,0,0,0,0
MAEKAWA Kazuya (GK),../players/maekawa_kazuya.html,Sanfrecce Hiroshima,480,5,5,0,0,0,0
SHIMOKAWA Kenichi (GK),../players/shimokawa_kenichi.html,JEF United Ichihara,630,7,7,0,0,1,0
AKITA Yutaka,../players/akita_yutaka.html,Kashima Antlers,16,2,0,0,0,0,0
HASEGAWA Yoshiyuki,../players/hasegawa_yoshiyuki.html,Kashima Antlers,107,2,2,0,0,0,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,44,1,0,0,0,0,0
HONDA Yasuto,../players/honda_yasuto.html,Kashima Antlers,667,13,5,0,0,4,0
IHARA Masami,../players/ihara_masami.html,Yokohama Marinos,1200,13,13,0,0,3,0
JO Shoji,../players/jo_shoji.html,JEF United Ichihara,68,3,0,0,0,0,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,308,5,4,0,0,0,0
KUROSAKI Hisashi,../players/kurosaki_hisashi.html,Kashima Antlers,99,2,0,0,0,0,0
MAEZONO Masakiyo,../players/maezono_masakiyo.html,Yokohama Flugels,523,7,7,4,0,0,0
MICHIKI Ryuji,../players/michiki_ryuji.html,Sanfrecce Hiroshima,8,1,0,0,0,0,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Verdy Kawasaki,1079,12,12,6,0,0,0
MORISHIMA Hiroaki,../players/morishima_hiroaki.html,Cerezo Osaka,725,11,7,2,0,0,0
MORIYASU Hajime,../players/moriyasu_hajime.html,Sanfrecce Hiroshima,168,3,3,1,0,1,0
NAKAMURA Tadashi,../players/nakamura_tadashi.html,Verdy Kawasaki,86,4,0,0,0,0,0
NANAMI Hiroshi,../players/nanami_hiroshi.html,Jubilo Iwata,1143,13,13,1,0,0,0
OKANO Masayuki,../players/okano_masayuki.html,Urawa Reds,340,11,3,1,0,1,0
OMURA Norio,../players/omura_norio.html,Yokohama Marinos,1081,12,12,2,0,2,0
SAITO Toshihide,../players/saito_toshihide.html,Shimizu S-Pulse,119,2,1,0,0,1,0
SAKAI Naoki,../players/sakai_naoki.html,Kashiwa Reysol,14,1,0,0,0,0,0
SAWADA Kentaro,../players/sawada_kentaro.html,Kashiwa Reysol,66,2,1,0,0,0,0
SOMA Naoki,../players/soma_naoki.html,Kashima Antlers,1102,13,12,2,0,0,0
SUZUKI Masaharu,../players/suzuki_masaharu.html,Yokohama Marinos,46,1,1,0,0,0,0
TAKAGI Takuya,../players/takagi_takuya.html,Sanfrecce Hiroshima,781,10,9,6,0,1,0
TSUCHIHASHI Masaki,../players/tsuchihashi_masaki.html,Urawa Reds,31,1,0,0,0,0,0
YAMAGUCHI Motohiro,../players/yamaguchi_motohiro.html,Yokohama Flugels,1139,13,13,2,0,2,0
YANAGIMOTO Hiroshige,../players/yanagimoto_hiroshige.html,Sanfrecce Hiroshima,1040,13,12,0,0,1,0
