Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Kawasaki Frontale,630,7,7,0,0,0,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus,540,6,6,0,0,0,0
NISHIKAWA Shusaku (GK),../players/nishikawa_shusaku.html,Oita Trinita,90,1,1,0,0,0,0
TSUZUKI Ryota (GK),../players/tsuzuki_ryota.html,Urawa Reds,270,3,3,0,0,0,0
ABE Yuki,../players/abe_yuki.html,Urawa Reds,362,8,4,1,0,0,0
AOKI Takeshi,../players/aoki_takeshi.html,Kashima Antlers,90,1,1,0,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,962,12,12,0,0,1,0
HASEBE Makoto,../players/hasebe_makoto.html,VfL Wolfsburg (GER),892,11,11,1,0,0,1
HASHIMOTO Hideo,../players/hashimoto_hideo.html,Gamba Osaka,417,7,4,0,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,VVV Venlo (NED),488,10,4,3,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Eintracht Frankfurt (GER) → Rennes (FRA),257,4,3,1,0,0,0
INUI Takashi,../players/inui_takashi.html,Cerezo Osaka,11,1,0,0,0,0,0
ISHIKAWA Naohiro,../players/ishikawa_naohiro.html,FC Tokyo,73,2,1,0,0,0,0
IWAMASA Daiki,../players/iwamasa_daiki.html,Kashima Antlers,90,1,1,0,0,0,0
KAGAWA Shinji,../players/kagawa_shinji.html,Cerezo Osaka,203,4,2,1,0,0,0
KANAZAKI Mu,../players/kanazaki_mu.html,Oita Trinita,2,1,0,0,0,0,0
KOMANO Yuichi,../players/komano_yuichi.html,Jubilo Iwata,611,9,7,0,0,1,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,404,7,4,0,0,0,0
KOROKI Shinzo,../players/koroki_shinzo.html,Kashima Antlers,170,8,1,0,0,1,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,125,2,2,0,0,0,0
MAKI Seiichiro,../players/maki_seiichiro.html,JEF United Chiba,44,3,0,0,0,0,0
MATSUI Daisuke,../players/matsui_daisuke.html,Saint-Etienne (FRA) → Grenoble (FRA),371,8,3,0,0,0,0
MORIMOTO Takayuki,../players/morimoto_takayuki.html,Catania (ITA),80,2,1,1,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,FC Tokyo,990,11,11,2,0,2,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,984,12,12,2,0,1,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Celtic (SCO) → RCD Espanyol (ESP),848,11,10,2,0,2,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1260,14,14,2,0,1,0
OKAZAKI Shinji,../players/okazaki_shinji.html,Shimizu S-Pulse,1200,16,14,15,1,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,VfL Wolfsburg (GER) → Vissel Kobe,557,9,6,0,0,1,0
SATO Hisato,../players/sato_hisato.html,Sanfrecce Hiroshima,57,3,0,1,0,0,0
TAKAGI Kazumichi,../players/takagi_kazumichi.html,Gamba Osaka,125,2,1,0,0,0,0
TAMADA Keiji,../players/tamada_keiji.html,Nagoya Grampus,639,10,9,1,0,0,0
TANAKA Marcus Tulio,../players/tanaka_marcus_tulio.html,Urawa Reds,1119,13,13,2,0,2,0
TANAKA Tatsuya,../players/tanaka_tatsuya.html,Urawa Reds,330,4,4,1,0,1,0
TERADA Shuhei,../players/terada_shuhei.html,Kawasaki Frontale,180,2,2,0,0,1,0
TOKUNAGA Yuhei,../players/tokunaga_yuhei.html,FC Tokyo,126,5,1,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Kashima Antlers,1062,13,12,0,0,0,0
YAMADA Naoki,../players/yamada_naoki.html,Urawa Reds,51,1,0,0,0,0,0
YAMAGUCHI Satoshi,../players/yamaguchi_satoshi_19780417.html,Gamba Osaka,28,2,0,0,0,0,0
YANO Kisho,../players/yano_kisho.html,Albirex Niigata,82,4,0,1,0,0,0
YASUDA Michihiro,../players/yasuda_michihiro.html,Gamba Osaka,9,1,0,1,0,0,0
