Player,Link,Club,MP,GP,GS,G,PK,YC,RC
HAMAZAKI Masahiro (GK),../players/hamazaki_masahiro.html,Yawata Iron & Steel,134,2,1,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,496,6,6,0,0,0,0
IMANISHI Kazuo,../players/imanishi_kazuo.html,Toyo Kogyo,270,3,3,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Waseda University,630,7,7,6,0,0,0
KAMI Hisao,../players/kami_hisao.html,Yawata Iron & Steel,370,5,4,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,540,6,6,0,0,0,0
KIMURA Takeo,../players/kimura_takeo.html,Furukawa Electric,180,2,2,1,0,0,0
KUWAHARA Yasuyuki,../players/kuwahara_yasuyuki.html,Toyo Kogyo,360,4,4,2,0,0,0
MATSUMOTO Ikuo,../players/matsumoto_ikuo.html,Toyo Kogyo,360,4,4,1,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,332,5,4,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,450,5,5,3,0,0,0
MORI Takaji,../players/mori_takaji.html,Waseda University,206,4,1,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,586,7,7,2,2,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Mitsubishi Heavy Industries,540,6,6,2,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Hitachi Head Office,540,6,6,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,136,2,2,1,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,170,2,2,0,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Chuo University,630,7,7,0,0,0,0
