Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Lierse SK (BEL),1122,12,12,0,0,0,1
NISHIKAWA Shusaku (GK),../players/nishikawa_shusaku.html,Sanfrecce Hiroshima,285,4,3,0,0,0,0
ABE Yuki,../players/abe_yuki.html,Leicester City (ENG),114,3,1,0,0,1,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,1179,13,13,0,0,1,0
FUJIMOTO Jungo,../players/fujimoto_jungo.html,Shimizu S-Pulse → Nagoya Grampus,160,4,2,0,0,0,0
HARAGUCHI Genki,../players/haraguchi_genki.html,Urawa Reds,44,1,0,0,0,0,0
HASEBE Makoto,../players/hasebe_makoto.html,VfL Wolfsburg (GER),1310,15,15,1,0,0,0
HAVENAAR Mike,../players/havenaar_mike.html,Ventforet Kofu,166,5,2,2,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,CSKA Moskva (RUS),733,8,7,2,1,1,0
HONDA Takuya,../players/honda_takuya.html,Shimizu S-Pulse,11,2,0,0,0,0,0
HOSOGAI Hajime,../players/hosogai_hajime.html,FC Augsburg (GER),446,7,2,1,0,0,0
IENAGA Akihiro,../players/ienaga_akihiro.html,RCD Mallorca (ESP),43,2,0,0,0,0,0
INOHA Masahiko,../players/inoha_masahiko.html,Kashima Antlers → Hajduk Split (CRO),426,9,5,1,0,0,0
IWAMASA Daiki,../players/iwamasa_daiki.html,Kashima Antlers,237,4,1,0,0,1,0
KAGAWA Shinji,../players/kagawa_shinji.html,Borussia Dortmund (GER),912,11,11,6,0,0,0
KASHIWAGI Yosuke,../players/kashiwagi_yosuke.html,Urawa Reds,150,2,2,0,0,0,0
KIYOTAKE Hiroshi,../players/kiyotake_hiroshi.html,Cerezo Osaka,217,5,1,0,0,0,0
KOMANO Yuichi,../players/komano_yuichi.html,Jubilo Iwata,588,7,7,1,0,0,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,1410,15,15,1,0,1,0
KOROKI Shinzo,../players/koroki_shinzo.html,Kashima Antlers,19,1,0,0,0,0,0
KURIHARA Yuzo,../players/kurihara_yuzo.html,Yokohama F. Marinos,224,3,2,0,0,0,0
LEE Tadanari,../players/lee_tadanari.html,Sanfrecce Hiroshima,540,10,5,2,0,0,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,653,9,8,4,0,1,0
MAKINO Tomoaki,../players/makino_tomoaki.html,1. FC Koln (GER),136,4,1,0,0,0,0
MATSUI Daisuke,../players/matsui_daisuke.html,Tom Tomsk (RUS),147,2,2,0,0,1,0
MORIWAKI Ryota,../players/moriwaki_ryota.html,Sanfrecce Hiroshima,15,1,0,0,0,0,0
NAGATA Mitsuru,../players/nagata_mitsuru.html,Urawa Reds,1,1,0,0,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,Cesena (ITA) → Inter Milan (ITA),849,10,9,0,0,1,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,282,4,3,1,0,0,0
NISHI Daigo,../players/nishi_daigo.html,Kashima Antlers,46,1,1,0,0,0,0
OKAZAKI Shinji,../players/okazaki_shinji.html,Shimizu S-Pulse → VfB Stuttgart (GER),1129,14,12,8,0,0,0
SEKIGUCHI Kunimitsu,../players/sekiguchi_kunimitsu.html,Vegalta Sendai,68,2,1,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Schalke 04 (GER),942,11,10,0,0,3,0
YASUDA Michihiro,../players/yasuda_michihiro.html,Vitesse (NED),71,1,1,0,0,0,0
YOSHIDA Maya,../players/yoshida_maya.html,VVV Venlo (NED),988,12,11,2,0,3,1
