Player,Link,Club,MP,GP,GS,G,PK,YC,RC
GONDA Shuichi (GK),../players/gonda_shuichi.html,FC Tokyo,90,1,1,0,0,0,0
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Kawasaki Frontale → Lierse SK (BEL),745,8,8,0,0,0,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus,720,8,8,0,0,1,0
NISHIKAWA Shusaku (GK),../players/nishikawa_shusaku.html,Sanfrecce Hiroshima,95,2,1,0,0,0,0
ABE Yuki,../players/abe_yuki.html,Urawa Reds → Leicester City (ENG),686,9,8,0,0,1,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,1288,15,15,2,1,4,0
FUJIMOTO Jungo,../players/fujimoto_jungo.html,Shimizu S-Pulse,69,2,0,0,0,0,0
HASEBE Makoto,../players/hasebe_makoto.html,VfL Wolfsburg (GER),915,10,10,0,0,1,0
HASHIMOTO Hideo,../players/hashimoto_hideo.html,Gamba Osaka,102,2,1,0,0,0,0
HIRAYAMA Sota,../players/hirayama_sota.html,FC Tokyo,172,4,0,3,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,CSKA Moskva (RUS),1036,12,12,3,0,1,0
HOSOGAI Hajime,../players/hosogai_hajime.html,Urawa Reds,198,3,2,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Kawasaki Frontale,435,8,4,0,0,1,0
INUI Takashi,../players/inui_takashi.html,Cerezo Osaka,90,2,1,0,0,0,0
ISHIKAWA Naohiro,../players/ishikawa_naohiro.html,FC Tokyo,44,1,0,0,0,0,0
IWAMASA Daiki,../players/iwamasa_daiki.html,Kashima Antlers,156,3,1,0,0,0,0
KAGAWA Shinji,../players/kagawa_shinji.html,Cerezo Osaka → Dortmund (GER),344,7,4,1,0,0,0
KANAZAKI Mu,../players/kanazaki_mu.html,Nagoya Grampus,121,4,1,0,0,0,0
KASHIWAGI Yosuke,../players/kashiwagi_yosuke.html,Urawa Reds,90,1,1,0,0,0,0
KIKUCHI Naoya,../players/kikuchi_naoya.html,Oita Trinita,90,1,1,0,0,1,0
KOMANO Yuichi,../players/komano_yuichi.html,Jubilo Iwata,651,11,7,0,0,0,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,475,7,6,0,0,0,0
KOROKI Shinzo,../players/koroki_shinzo.html,Kashima Antlers,46,1,1,0,0,0,0
KURIHARA Yuzo,../players/kurihara_yuzo.html,Yokohama F. Marinos,294,4,4,0,0,0,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,115,2,1,0,0,0,0
MAKINO Tomoaki,../players/makino_tomoaki.html,Sanfrecce Hiroshima,189,4,2,0,0,1,0
MATSUI Daisuke,../players/matsui_daisuke.html,Grenoble (FRA) → Tom Tomsk (RUS),501,8,7,0,0,1,0
MORIMOTO Takayuki,../players/morimoto_takayuki.html,Catania (ITA),308,7,3,2,0,0,0
NAGAI Kensuke,../players/nagai_kensuke.html,Fukuoka University,5,1,0,0,0,0,0
NAGATA Mitsuru,../players/nagata_mitsuru.html,Albirex Niigata,44,1,0,0,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,FC Tokyo → Cesena (ITA),1426,16,16,0,0,2,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,540,11,5,0,0,1,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Yokohama F. Marinos,290,5,3,0,0,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1290,14,14,0,0,0,0
OGASAWARA Mitsuo,../players/ogasawara_mitsuo.html,Kashima Antlers,137,2,2,0,0,1,0
OKAZAKI Shinji,../players/okazaki_shinji.html,Shimizu S-Pulse,876,15,9,3,0,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,Vissel Kobe,847,11,11,0,0,1,0
OTA Kosuke,../players/ota_kosuke.html,Shimizu S-Pulse,90,1,1,0,0,0,0
SATO Hisato,../players/sato_hisato.html,Sanfrecce Hiroshima,28,3,0,0,0,0,0
SEKIGUCHI Kunimitsu,../players/sekiguchi_kunimitsu.html,Vegalta Sendai,19,1,0,0,0,0,0
TAMADA Keiji,../players/tamada_keiji.html,Nagoya Grampus,339,9,3,2,0,0,0
TANAKA Marcus Tulio,../players/tanaka_marcus_tulio.html,Nagoya Grampus,971,11,11,2,0,2,1
TOKUNAGA Yuhei,../players/tokunaga_yuhei.html,FC Tokyo,149,2,2,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Kashima Antlers → Schalke 04 (GER),614,7,6,0,0,2,0
WATANABE Kazuma,../players/watanabe_kazuma.html,Yokohama F. Marinos,85,1,1,0,0,0,0
YAMADA Naoki,../players/yamada_naoki.html,Urawa Reds,21,1,1,0,0,0,0
YAMAMURA Kazuya,../players/yamamura_kazuya.html,Ryutsu Keizai University,46,1,1,0,0,0,0
YAMASE Koji,../players/yamase_koji.html,Yokohama F. Marinos,20,1,0,0,0,0,0
YANO Kisho,../players/yano_kisho.html,Albirex Niigata,19,3,0,0,0,0,0
YONEMOTO Takuji,../players/yonemoto_takuji.html,FC Tokyo,90,1,1,0,0,1,0
YOSHIDA Maya,../players/yoshida_maya.html,Nagoya Grampus,90,1,1,0,0,0,0
