Player,Link,Club,MP,GP,GS,G,PK,YC,RC
SETA Tatsuhiko (GK),../players/seta_tatsuhiko.html,Hitachi,1260,14,14,0,0,0,0
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,270,3,3,0,0,0,0
ARAI Kozo,../players/arai_kozo.html,Furukawa Electric,1036+?,15,13,0,0,0,0
DAINI Kuniya,../players/daini_kuniya.html,Mitsubishi Heavy Industries,1350,15,15,0,0,0,0
FUJIGUCHI Mitsunori,../players/fujiguchi_mitsunori.html,Mitsubishi Heavy Industries,92,2,2,0,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,1170+?,16,13,3,0,0,0
FURUTA Atsuyoshi,../players/furuta_atsuyoshi.html,Toyo Kogyo,180,2,2,0,0,0,0
IMAMURA Hiroji,../players/imamura_hiroji.html,Yanmar,90+?,4,3,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,1411,16,16,9,0,0,0
KAWAKAMI Nobuo,../players/kawakami_nobuo.html,Hitachi,630+?,8,8,0,0,0,0
KIYOKUMO Eijun,../players/kiyokumo_eijun.html,Furukawa Electric,810,9,9,0,0,0,0
KOMAEDA Mitsuru,../players/komaeda_mitsuru.html,Fujita,29,1,0,2,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Hosei University,282+?,6,4,1,0,0,0
MATSUNAGA Akira,../players/matsunaga_akira_19480808.html,Hitachi,356+?,7,2,2,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,302,4,3,0,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,1440+?,17,17,2,0,0,0
OCHIAI Hiroshi,../players/ochiai_hiroshi.html,Mitsubishi Heavy Industries,1350,15,15,2,0,1,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,90+?,2,1,0,0,0,0
OKUDERA Yasuhiko,../players/okudera_yasuhiko.html,Furukawa Electric,720,8,8,7,0,0,0
SAITO Kazuo,../players/saito_kazuo.html,Mitsubishi Heavy Industries,1260,14,14,0,0,0,0
TAKABAYASHI Toshio,../players/takabayashi_toshio.html,Chuo University → Hitachi,431+?,8,7,1,0,0,0
USUI Hiroyuki,../players/usui_hiroyuki.html,Hitachi,90,1,1,0,0,0,0
WATANABE Mitsuo,../players/watanabe_mitsuo.html,Fujita,92+?,3,2,0,0,0,0
YOKOTANI Masaki,../players/yokotani_masaki.html,Hitachi,360+?,6,4,0,0,0,0
YOSHIMURA Daishiro,../players/yoshimura_daishiro.html,Yanmar,829+?,12,11,0,0,0,0
