Player,Link,Club,MP,GP,GS,G,PK,YC,RC
DOI Yoichi (GK),../players/doi_yoichi.html,FC Tokyo,180,2,2,0,0,0,0
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Jubilo Iwata,1260,14,14,0,0,0,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,360,4,4,0,0,0,0
ABE Yuki,../players/abe_yuki.html,JEF United Chiba,235,5,2,0,0,0,0
CHANO Takayuki,../players/chano_takayuki.html,JEF United Chiba,275,4,3,0,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,521,8,6,0,0,2,0
FUJITA Toshiya,../players/fujita_toshiya.html,Jubilo Iwata,2,1,0,0,0,0,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,1187,14,14,1,0,2,0
INAMOTO Junichi,../players/inamoto_junichi.html,Cardiff City (ENG) → WBA (ENG),478,10,5,0,0,2,0
KAJI Akira,../players/kaji_akira.html,FC Tokyo,1260,14,14,1,0,4,0
KOMANO Yuichi,../players/komano_yuichi.html,Sanfrecce Hiroshima,450,5,5,0,0,2,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,186,3,2,0,0,0,0
MAKI Seiichiro,../players/maki_seiichiro.html,JEF United Chiba,169,3,2,0,0,0,0
MATSUDA Naoki,../players/matsuda_naoki.html,Yokohama F. Marinos,90,1,1,1,0,0,0
MATSUI Daisuke,../players/matsui_daisuke.html,Le Mans (FRA),121,3,1,1,0,1,0
MINOWA Yoshinobu,../players/minowa_yoshinobu.html,Kawasaki Frontale,33,1,0,0,0,0,0
MIURA Atsuhiro,../players/miura_atsuhiro.html,Vissel Kobe,180,2,2,0,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,1350,15,15,1,0,0,0
MONIWA Teruyuki,../players/moniwa_teruyuki.html,FC Tokyo,360,4,4,1,0,0,0
MOTOYAMA Masashi,../players/motoyama_masashi.html,Kashima Antlers,222,8,2,0,0,0,0
MURAI Shinji,../players/murai_shinji.html,JEF United Chiba,189,3,2,0,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Reggina (ITA) → Celtic (SCO),839,11,10,3,2,3,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Fiorentina (ITA) → Bolton Wanderers (ENG),896,10,10,0,0,2,0
NAKATA Koji,../players/nakata_koji.html,Olympique Marseille (FRA),401,8,4,0,0,0,1
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1020,12,11,1,0,1,0
OGASAWARA Mitsuo,../players/ogasawara_mitsuo.html,Kashima Antlers,1054,15,12,4,0,1,0
OGURO Masashi,../players/oguro_masashi.html,Gamba Osaka,521,15,3,5,0,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,RCD Mallorca (ESP),26,2,0,0,0,1,0
ONO Shinji,../players/ono_shinji.html,Feyenoord (NED),169,2,2,0,0,1,0
SANTOS Alessandro,../players/santos_alessandro.html,Urawa Reds,1355,17,15,1,0,8,0
SUZUKI Takayuki,../players/suzuki_takayuki.html,Kashima Antlers,555,10,7,1,0,0,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Hamburger SV (GER),488,7,6,2,0,0,0
TAMADA Keiji,../players/tamada_keiji.html,Kashiwa Reysol,816,16,10,2,0,0,0
TANAKA Makoto,../players/tanaka_makoto.html,Jubilo Iwata,1237,16,15,0,0,1,0
TANAKA Tatsuya,../players/tanaka_tatsuya.html,Urawa Reds,113,2,1,1,0,0,0
TSUBOI Keisuke,../players/tsuboi_keisuke.html,Urawa Reds,417,7,5,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Messina (ITA),738,10,9,4,0,1,0
