Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUI Kiyotaka (GK),../players/matsui_kiyotaka.html,Nippon Kokan,210,2,2,0,0,0,0
MORISHITA Shinichi (GK),../players/morishita_shinichi.html,Yamaha,360,4,4,0,0,0,0
ECHIGO Kazuo,../players/echigo_kazuo.html,Furukawa Electric,300,3,3,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Mitsubishi Heavy Industries,570,6,6,7,0,0,0
HASHIRATANI Koichi,../players/hashiratani_koichi.html,Nissan Motor,180,2,2,0,0,0,0
HORIIKE Takumi,../players/horiike_takumi.html,Juntendo University,210,2,2,0,0,0,0
ISHIGAMI Yoshinori,../players/ishigami_yoshinori.html,Yamaha,270,3,3,0,0,0,0
KANEKO Hisashi,../players/kaneko_hisashi.html,Furukawa Electric,300,3,3,0,0,0,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,480,5,5,0,0,0,0
KATSUYA Toshinobu,../players/katsuya_toshinobu.html,Honda Motor,390,4,4,0,0,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Nissan Motor,570,6,6,2,1,0,0
KURATA Yasuharu,../players/kurata_yasuharu.html,Honda Motor,90,1,1,0,0,0,0
MATSUKI Yasutaro,../players/matsuki_yasutaro.html,Yomiuri Soccer Club,134,2,1,0,0,0,0
MATSUURA Toshio,../players/matsuura_toshio.html,Nippon Kokan,131,3,2,1,0,0,0
MIYAUCHI Satoshi,../players/miyauchi_satoshi.html,Furukawa Electric,570,6,6,0,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Yanmar,480,5,5,0,0,0,0
OKUDERA Yasuhiko,../players/okudera_yasuhiko.html,Furukawa Electric,272,4,4,0,0,0,0
TANINAKA Osamu,../players/taninaka_osamu.html,Fujita,55,2,0,0,0,0,0
TEZUKA Satoshi,../players/tezuka_satoshi.html,Fujita,248,4,2,0,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,450,5,5,2,0,0,0
