Player,Link,Club,MP,GP,GS,G,PK,YC,RC
GONDA Shuichi (GK),../players/gonda_shuichi.html,FC Tokyo,90,1,1,0,0,0,0
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Standard Liege (BEL),1260,14,14,0,0,0,0
NISHIKAWA Shusaku (GK),../players/nishikawa_shusaku.html,Sanfrecce Hiroshima,360,4,4,0,0,0,0
AOYAMA Toshihiro,../players/aoyama_toshihiro.html,Sanfrecce Hiroshima,166,3,2,0,0,1,0
CHIBA Kazuhiko,../players/chiba_kazuhiko.html,Sanfrecce Hiroshima,81,1,1,0,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,1279,16,13,2,0,0,0
HARAGUCHI Genki,../players/haraguchi_genki.html,Urawa Reds,161,2,2,0,0,1,0
HASEBE Makoto,../players/hasebe_makoto.html,VfL Wolfsburg (GER) → 1. FC Nuremberg (GER),1138,14,14,0,0,4,0
HAVENAAR Mike,../players/havenaar_mike.html,Vitesse (NED),205,8,1,1,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,CSKA Moskva (RUS),1005,12,11,8,2,2,0
HOSOGAI Hajime,../players/hosogai_hajime.html,Leverkusen (GER) → Hertha Berlin (GER),279,7,3,0,0,1,0
INOHA Masahiko,../players/inoha_masahiko.html,Jubilo Iwata,208,4,2,0,0,0,0
INUI Takashi,../players/inui_takashi.html,Eintracht Frankfurt (GER),169,6,2,0,0,0,0
KAGAWA Shinji,../players/kagawa_shinji.html,Manchester United (ENG),1362,16,15,4,0,0,0
KAKITANI Yoichiro,../players/kakitani_yoichiro.html,Cerezo Osaka,559,9,7,4,0,0,0
KIYOTAKE Hiroshi,../players/kiyotake_hiroshi.html,1. FC Nuremberg (GER),536,11,8,0,0,0,0
KOMANO Yuichi,../players/komano_yuichi.html,Jubilo Iwata,288,6,3,0,0,0,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,Gamba Osaka,1165,15,13,0,0,3,0
KUDO Masato,../players/kudo_masato.html,Kashiwa Reysol,204,4,2,2,0,0,0
KURIHARA Yuzo,../players/kurihara_yuzo.html,Yokohama F. Marinos,409,7,4,1,0,2,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,483,9,6,0,0,0,0
MAKINO Tomoaki,../players/makino_tomoaki.html,Urawa Reds,142,3,2,0,0,1,0
MORISHIGE Masato,../players/morishige_masato.html,FC Tokyo,410,6,4,0,0,1,0
MORIWAKI Ryota,../players/moriwaki_ryota.html,Urawa Reds,90,1,1,0,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,Inter Milan (ITA),974,12,11,0,0,1,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,102,5,0,0,0,0,0
OGIHARA Takahiro,../players/ogihara_takahiro.html,Cerezo Osaka,61,1,1,0,0,0,0
OKAZAKI Shinji,../players/okazaki_shinji.html,VfB Stuttgart (GER) → 1. FSV Mainz 05 (GER),1129,14,13,7,0,0,0
OSAKO Yuya,../players/osako_yuya.html,Kashima Antlers,254,6,3,3,0,1,0
OTSU Yuki,../players/otsu_yuki.html,VVV Venlo (NED),36,2,0,0,0,0,0
SAITO Manabu,../players/saito_manabu.html,Yokohama F. Marinos,97,3,1,1,0,0,0
SAKAI Gotoku,../players/sakai_gotoku.html,VfB Stuttgart (GER),538,9,5,0,0,0,0
SAKAI Hiroki,../players/sakai_hiroki.html,Hannover 96 (GER),318,7,3,0,0,1,0
SUZUKI Daisuke,../players/suzuki_daisuke.html,Kashiwa Reysol,90,1,1,0,0,0,0
TAKAHAGI Yojiro,../players/takahagi_yojiro.html,Sanfrecce Hiroshima,177,2,2,0,0,0,0
TAKAHASHI Hideto,../players/takahashi_hideto.html,FC Tokyo,116,3,1,0,0,0,0
TOKUNAGA Yuhei,../players/tokunaga_yuhei.html,FC Tokyo,129,2,1,0,0,0,0
TOYODA Yohei,../players/toyoda_yohei.html,Sagan Tosu,119,3,1,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Schalke 04 (GER),914,13,12,0,0,1,0
YAMADA Hiroki,../players/yamada_hiroki.html,Jubilo Iwata,111,2,1,0,0,0,0
YAMAGUCHI Hotaru,../players/yamaguchi_hotaru.html,Cerezo Osaka,389,8,4,0,0,0,0
YOSHIDA Maya,../players/yoshida_maya.html,Southampton (ENG),1207,15,14,0,0,0,0
