Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MAEKAWA Kazuya (GK),../players/maekawa_kazuya.html,Sanfrecce Hiroshima,210,3,2,0,0,0,0
MATSUNAGA Shigetatsu (GK),../players/matsunaga_shigetatsu.html,Yokohama Marinos,810,9,9,0,0,1,1
ASANO Tetsuya,../players/asano_tetsuya.html,Nagoya Grampus Eight,258,3,3,0,0,0,0
FUKUDA Masahiro,../players/fukuda_masahiro.html,Urawa Reds,662,8,7,3,0,0,0
HASHIRATANI Tetsuji,../players/hashiratani_tetsuji.html,Yokohama Marinos,1020,11,11,0,0,0,0
HIRAKAWA Hiroshi,../players/hirakawa_hiroshi.html,Yokohama Marinos,61,1,1,0,0,0,0
HORIIKE Takumi,../players/horiike_takumi.html,Verdy Kawasaki,586,7,7,0,0,1,0
IHARA Masami,../players/ihara_masami.html,Yokohama Marinos,1020,11,11,0,0,1,0
KATSUYA Toshinobu,../players/katsuya_toshinobu.html,Yokohama Marinos,754,9,8,0,0,3,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,894,11,11,1,0,2,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Verdy Kawasaki,1011,11,11,2,0,1,0
MORIYASU Hajime,../players/moriyasu_hajime.html,Sanfrecce Hiroshima,630,7,7,0,0,3,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Yamaha,181,6,1,3,0,0,0
RAMOS Ruy,../players/ramos_ruy.html,Verdy Kawasaki,613,10,5,0,0,2,0
TAKAGI Takuya,../players/takagi_takuya.html,Sanfrecce Hiroshima,841,11,9,5,0,0,0
TAKEDA Nobuhiro,../players/takeda_nobuhiro.html,Verdy Kawasaki,99,2,1,0,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Verdy Kawasaki,911,10,10,0,0,3,1
YOSHIDA Mitsunori,../players/yoshida_mitsunori.html,Yamaha,610,8,7,0,0,1,0
