Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUI Kiyotaka (GK),../players/matsui_kiyotaka.html,Nippon Kokan,90,1,1,0,0,0,0
MORISHITA Shinichi (GK),../players/morishita_shinichi.html,Yamaha,900,10,10,0,0,0,0
ASAOKA Tomoyasu,../players/asaoka_tomoyasu.html,Nippon Kokan,44,1,0,0,0,0,0
ECHIGO Kazuo,../players/echigo_kazuo.html,Furukawa Electric,205,3,2,1,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Mitsubishi Heavy Industries,902,11,10,7,0,0,0
HORIIKE Takumi,../players/horiike_takumi.html,Juntendo University,990,11,11,0,0,0,0
KANEKO Hisashi,../players/kaneko_hisashi.html,Furukawa Electric,360,4,4,1,0,2,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,990,11,11,2,0,0,0
KATSUYA Toshinobu,../players/katsuya_toshinobu.html,Honda Motor,540,6,6,0,0,0,0
KURATA Yasuharu,../players/kurata_yasuharu.html,Honda Motor,377,5,4,0,0,2,0
MATSUURA Toshio,../players/matsuura_toshio.html,Nippon Kokan,392+?,7,4,4,0,0,0
MATSUYAMA Yoshiyuki,../players/matsuyama_yoshiyuki.html,Waseda University,504,9,5,4,0,1,0
MIYAUCHI Satoshi,../players/miyauchi_satoshi.html,Furukawa Electric,343+?,5,5,0,0,0,0
MIZUNUMA Takashi,../players/mizunuma_takashi.html,Nissan Motor,662,8,7,2,0,0,0
NAKAMOTO Kuniharu,../players/nakamoto_kuniharu.html,Nippon Kokan,450,5,5,0,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Yanmar,700,8,8,0,0,2,0
OKUDERA Yasuhiko,../players/okudera_yasuhiko.html,Furukawa Electric,409,5,5,1,0,0,0
SHINTO Katsuyoshi,../players/shinto_katsuyoshi.html,Mazda,180,2,2,0,0,0,0
TAKEDA Nobuhiro,../players/takeda_nobuhiro.html,Yomiuri Soccer Club,282,4,3,1,0,0,0
TEZUKA Satoshi,../players/tezuka_satoshi.html,Fujita,580,8,8,2,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,900,10,10,0,0,2,0
