Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MAEKAWA Kazuya (GK),../players/maekawa_kazuya.html,Sanfrecce Hiroshima,180,2,2,0,0,0,0
MATSUNAGA Shigetatsu (GK),../players/matsunaga_shigetatsu.html,Yokohama Marinos,1290,14,14,0,0,1,0
FUKUDA Masahiro,../players/fukuda_masahiro.html,Urawa Reds,1243,15,13,3,0,1,0
HASEGAWA Kenta,../players/hasegawa_kenta.html,Shimizu S-Pulse,299,5,3,0,0,0,0
HASHIRATANI Tetsuji,../players/hashiratani_tetsuji.html,Verdy Kawasaki,1290,14,14,2,0,1,0
HORIIKE Takumi,../players/horiike_takumi.html,Shimizu S-Pulse,1470,16,16,1,0,0,0
IHARA Masami,../players/ihara_masami.html,Yokohama Marinos,1328,15,15,2,0,2,1
KATSUYA Toshinobu,../players/katsuya_toshinobu.html,Yokohama Marinos,540,6,6,0,0,1,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,267,4,3,0,0,1,0
KUROSAKI Hisashi,../players/kurosaki_hisashi.html,Kashima Antlers,9,1,0,0,0,0,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Verdy Kawasaki,1470,16,16,16,3,0,0
MIURA Yasutoshi,../players/miura_yasutoshi.html,Shimizu S-Pulse,283,3,3,0,0,0,0
MORIYASU Hajime,../players/moriyasu_hajime.html,Sanfrecce Hiroshima,1343,15,15,0,0,2,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Yamaha / Jubilo Iwata,329,8,3,4,0,0,0
RAMOS Ruy,../players/ramos_ruy.html,Verdy Kawasaki,1253,14,14,1,0,1,0
SAWANOBORI Masaaki,../players/sawanobori_masaaki.html,Shimizu S-Pulse,87,5,0,1,0,0,0
TAKAGI Takuya,../players/takagi_takuya.html,Sanfrecce Hiroshima,1142,13,13,7,0,2,0
TAKEDA Nobuhiro,../players/takeda_nobuhiro.html,Verdy Kawasaki,50,4,0,0,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Verdy Kawasaki,900,10,10,0,0,2,0
YOSHIDA Mitsunori,../players/yoshida_mitsunori.html,Yamaha / Jubilo Iwata,1345,16,16,1,0,1,0
