Player,Link,Club,MP,GP,GS,G,PK,YC,RC
TSUDA Yukio (GK),../players/tsuda_yukio.html,East Japan Heavy-Industries,194,3,3,0,0,0,0
ARIMA Ko,../players/arima_ko.html,Sankyo Pharma,194,3,3,0,0,0,0
IWATANI Toshio,../players/iwatani_toshio.html,Osaka Club,194,3,3,2,0,0,0
KAGAWA Taro,../players/kagawa_taro.html,Tanabe Seiyaku,134,2,2,0,0,0,0
KANO Takashi,../players/kano_takashi.html,Waseda WMW,194,3,3,0,0,0,0
KATO Nobuyuki,../players/kato_nobuyuki.html,Tanabe Seiyaku,60,1,1,0,0,0,0
MATSUNAGA Seki,../players/matsunaga_seki.html,Waseda University,60,1,1,0,0,0,0
MIYATA Koji,../players/miyata_koji.html,Tanabe Seiyaku,194,3,3,0,0,0,0
NINOMIYA Hirokazu,../players/ninomiya_hirokazu.html,Keio BRB,134,2,2,1,0,0,0
NORITAKE Ken,../players/noritake_ken.html,Nippon Yusen,60,1,1,0,0,0,0
OKADA Yoshio,../players/okada_yoshio.html,Kwangaku Club,194,3,3,0,0,0,0
SUGIMOTO Shigeo,../players/sugimoto_shigeo.html,Hankyu Railways,134,2,2,0,0,0,0
TAMURA Megumu,../players/tamura_megumu.html,Nippon Oil & Fats,194,3,3,0,0,0,0
TOKITA Masanori,../players/tokita_masanori.html,Tanabe Seiyaku,194,3,3,1,0,0,0
