Player,Link,Club,MP,GP,GS,G,PK,YC,RC
HOSAKA Tsukasa (GK),../players/hosaka_tsukasa.html,Furukawa Electric,400,5,5,0,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,320,4,4,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,New Mitsubishi Heavy Industries,400,5,5,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Chuo University,?,1,0,0,0,0,0
OZAWA Michihiro,../players/ozawa_michihiro.html,Toyo Kogyo,400,5,5,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Meiji University,400,5,5,1,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Hitachi Head Office,400,5,5,0,0,0,0
TAKAMORI Yasuo,../players/takamori_yasuo.html,Nippon Kokan,160,2,2,0,0,0,0
TSUGITANI Shozo,../players/tsugitani_shozo.html,New Mitsubishi Heavy Industries,400,5,5,4,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,320,4,4,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,400,5,5,2,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,400,5,5,3,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,320+?,5,5,4,1,0,0
