Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUI Kiyotaka (GK),../players/matsui_kiyotaka.html,Nippon Kokan,720,8,8,0,0,0,0
MORISHITA Shinichi (GK),../players/morishita_shinichi.html,Yamaha,180,2,2,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Mitsubishi Heavy Industries,900,10,10,5,0,0,0
HASHIRATANI Koichi,../players/hashiratani_koichi.html,Nissan Motor,763,9,9,2,0,2,0
HIRAKAWA Hiroshi,../players/hirakawa_hiroshi.html,Juntendo University,126,6,0,0,0,0,0
IKEDA Shinobu,../players/ikeda_shinobu.html,Nissan Motor,90,1,1,0,0,0,0
IKEUCHI Yutaka,../players/ikeuchi_yutaka.html,Fujita,360,4,4,0,0,1,0
ISHIGAMI Yoshinori,../players/ishigami_yoshinori.html,Yamaha,656,8,8,0,0,0,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,720,8,8,0,0,1,0
KATSUYA Toshinobu,../players/katsuya_toshinobu.html,Honda Motor,180,2,2,0,0,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Nissan Motor,803,10,10,7,1,0,0
KOSHIDA Takeshi,../players/koshida_takeshi.html,Nissan Motor,44,1,0,0,0,0,0
MATSUKI Yasutaro,../players/matsuki_yasutaro.html,Yomiuri Soccer Club,540,6,6,0,0,3,0
MIYAUCHI Satoshi,../players/miyauchi_satoshi.html,Furukawa Electric,695,8,8,0,0,0,0
MIZUNUMA Takashi,../players/mizunuma_takashi.html,Nissan Motor,692,8,8,3,0,0,0
NAGASAWA Kazuaki,../players/nagasawa_kazuaki.html,Yamaha,270,3,3,0,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Yanmar,720,8,8,2,0,0,0
OKADA Takeshi,../players/okada_takeshi.html,Furukawa Electric,202,3,2,0,0,0,0
TANAKA Shinji,../players/tanaka_shinji.html,Nissan Motor,135,3,1,0,0,0,0
TEZUKA Satoshi,../players/tezuka_satoshi.html,Fujita,39,2,0,0,0,0,0
TOTSUKA Tetsuya,../players/totsuka_tetsuya.html,Yomiuri Soccer Club,157,2,2,0,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,630,7,7,0,0,2,0
UCHIYAMA Atsushi,../players/uchiyama_atsushi.html,Yamaha,90,1,1,0,0,0,0
UCHIYAMA Masaru,../players/uchiyama_masaru.html,Yamaha,90,1,1,0,0,0,0
YONASHIRO George,../players/yonashiro_george.html,Yomiuri Soccer Club,98,2,1,0,0,0,0
