Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUNAGA Shigetatsu (GK),../players/matsunaga_shigetatsu.html,Nissan Motor,90,1,1,0,0,0,0
MORISHITA Shinichi (GK),../players/morishita_shinichi.html,Yamaha,90,1,1,0,0,0,0
ASANO Tetsuya,../players/asano_tetsuya.html,Toyota Motor,173,2,2,0,0,0,0
FUKUDA Masahiro,../players/fukuda_masahiro.html,Mitsubishi Motors,180,2,2,0,0,0,0
HASHIRATANI Tetsuji,../players/hashiratani_tetsuji.html,Nissan Motor,180,2,2,1,1,0,0
HORIIKE Takumi,../players/horiike_takumi.html,Yomiuri Soccer Club,180,2,2,0,0,0,0
IHARA Masami,../players/ihara_masami.html,Nissan Motor,180,2,2,0,0,0,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Honda Motor,172,2,2,0,0,1,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Yomiuri Soccer Club,180,2,2,0,0,0,0
NAGASHIMA Akihiro,../players/nagashima_akihiro.html,Matsushita Electric Industrial,20,1,0,0,0,0,0
RAMOS Ruy,../players/ramos_ruy.html,Yomiuri Soccer Club,180,2,2,0,0,1,0
SAKAKURA Yuji,../players/sakakura_yuji.html,Furukawa Electric,90,1,1,0,0,0,0
SASAKI Masanao,../players/sasaki_masanao.html,Honda Motor,90,1,1,0,0,0,0
SORIMACHI Yasuharu,../players/sorimachi_yasuharu.html,All Nippon Airways Soccer Club,15,2,0,0,0,0,0
TAKEDA Nobuhiro,../players/takeda_nobuhiro.html,Yomiuri Soccer Club,160,2,2,0,0,0,0
