Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Portsmouth (ENG) → FC Nordsjaelland (DEN),180,2,2,0,0,0,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,1080,12,12,0,0,0,0
SOGAHATA Hitoshi (GK),../players/sogahata_hitoshi.html,Kashima Antlers,180,2,2,0,0,0,0
AKITA Yutaka,../players/akita_yutaka.html,Kashima Antlers,360,4,4,1,0,1,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,797,11,9,1,0,1,0
FUJITA Toshiya,../players/fujita_toshiya.html,FC Utrecht (NED),136,3,1,0,0,0,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,406,6,5,0,0,0,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,360,4,4,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Fulham (ENG),858,10,10,1,0,2,0
ISHIKAWA Naohiro,../players/ishikawa_naohiro.html,FC Tokyo,11,1,0,0,0,0,0
KAJI Akira,../players/kaji_akira.html,FC Tokyo,90,1,1,0,0,0,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Yokohama F. Marinos,270,3,3,2,0,1,0
KUROBE Teruaki,../players/kurobe_teruaki.html,Kyoto Purple Sanga,31,3,0,0,0,0,0
MATSUI Daisuke,../players/matsui_daisuke.html,Kyoto Purple Sanga,16,1,0,0,0,1,0
MIURA Atsuhiro,../players/miura_atsuhiro.html,Tokyo Verdy 1969,90,1,1,0,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,900,10,10,0,0,0,0
MONIWA Teruyuki,../players/moniwa_teruyuki.html,FC Tokyo,180,2,2,0,0,0,0
MORIOKA Ryuzo,../players/morioka_ryuzo.html,Shimizu S-Pulse,360,4,4,0,0,0,0
MOTOYAMA Masashi,../players/motoyama_masashi.html,Kashima Antlers,83,3,0,0,0,1,0
NAGAI Yuichiro,../players/nagai_yuichiro.html,Urawa Reds,79,4,0,1,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Reggina (ITA),676,8,8,4,1,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Parma (ITA),990,11,11,2,0,1,0
NAKATA Koji,../players/nakata_koji.html,Kashima Antlers,421,7,4,0,0,1,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,195,3,3,0,0,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,316,4,4,0,0,1,0
NARAHASHI Akira,../players/narahashi_akira.html,Kashima Antlers,360,4,4,0,0,0,0
OGASAWARA Mitsuo,../players/ogasawara_mitsuo.html,Kashima Antlers,560,8,7,0,0,0,0
OKU Daisuke,../players/oku_daisuke.html,Yokohama F. Marinos,72,3,0,0,0,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,Cerezo Osaka,713,14,8,0,0,3,1
ONO Shinji,../players/ono_shinji.html,Feyenoord (NED),333,5,4,0,0,0,0
SANTOS Alessandro,../players/santos_alessandro.html,Shimizu S-Pulse,1258,15,13,1,1,2,0
SUZUKI Takayuki,../players/suzuki_takayuki.html,Racing Genk (BEL) → Heusden-Zolder (BEL),294,4,4,0,0,0,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Hamburger SV (GER),706,8,8,2,0,1,0
TSUBOI Keisuke,../players/tsuboi_keisuke.html,Urawa Reds,990,11,11,0,0,0,0
YAMADA Nobuhisa,../players/yamada_nobuhisa.html,Urawa Reds,978,11,11,0,0,2,0
YAMADA Takuya,../players/yamada_takuya.html,Tokyo Verdy 1969,23,1,0,0,0,0,0
YAMASHITA Yoshiteru,../players/yamashita_yoshiteru.html,Vegalta Sendai,46,1,1,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Sampdoria (ITA),380,5,5,1,0,0,0
