Player,Link,Club,MP,GP,GS,G,PK,YC,RC
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,450,5,5,0,0,0,0
ARAI Kozo,../players/arai_kozo.html,Furukawa Electric,90,1,1,0,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,450,5,5,0,0,0,0
IMAI Keizo,../players/imai_keizo.html,Fujita,105,2,1,0,0,0,0
ISHII Shigemi,../players/ishii_shigemi.html,Furukawa Electric,270+?,4,4,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,314,4,3,0,0,0,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Chuo University,90,1,1,1,0,0,0
KAWAKAMI Nobuo,../players/kawakami_nobuo.html,Hitachi,90,1,1,0,0,0,0
KIYOKUMO Eijun,../players/kiyokumo_eijun.html,Furukawa Electric,450,5,5,0,0,0,0
KOMAEDA Mitsuru,../players/komaeda_mitsuru.html,Fujita,?,1,1,0,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Hosei University → Furukawa Electric,28,3,0,0,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,450,5,5,0,0,0,0
NISHINO Akira,../players/nishino_akira.html,Waseda University,360,4,4,0,0,0,0
OCHIAI Hiroshi,../players/ochiai_hiroshi.html,Mitsubishi Heavy Industries,360+?,5,4,0,0,0,0
OKUDERA Yasuhiko,../players/okudera_yasuhiko.html,Furukawa Electric,360,4,4,0,0,0,0
SAITO Kazuo,../players/saito_kazuo.html,Mitsubishi Heavy Industries,422,5,5,0,0,0,0
USUI Hiroyuki,../players/usui_hiroyuki.html,Hitachi,121+?,4,2,0,0,0,0
YOKOTANI Masaki,../players/yokotani_masaki.html,Hitachi,180+?,3,2,0,0,0,0
