Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Yokohama F. Marinos,270,3,3,0,0,1,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,270,3,3,0,0,0,0
SHIMODA Takashi (GK),../players/shimoda_takashi.html,Sanfrecce Hiroshima,90,1,1,0,0,0,0
AKITA Yutaka,../players/akita_yutaka.html,Kashima Antlers,586,7,7,0,0,0,0
ANDO Masahiro,../players/ando_masahiro.html,Shimizu S-Pulse,90,1,1,0,0,0,0
FUJITA Toshiya,../players/fujita_toshiya.html,Jubilo Iwata,231,4,3,0,0,0,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,129,3,2,0,0,0,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,358,5,3,0,0,1,0
IHARA Masami,../players/ihara_masami.html,Yokohama F. Marinos,236,3,3,0,0,3,1
ITO Teruyoshi,../players/ito_teruyoshi.html,Shimizu S-Pulse,630,7,7,0,0,0,0
JO Shoji,../players/jo_shoji.html,Yokohama F. Marinos,301,5,4,0,0,1,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,6,1,0,0,0,0,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Sanfrecce Hiroshima,27,1,0,0,0,0,0
LOPES Wagner,../players/lopes_wagner.html,Nagoya Grampus Eight,489,7,6,2,1,1,0
MIURA Atsuhiro,../players/miura_atsuhiro.html,Yokohama F. Marinos,230,5,1,1,0,0,0
MOCHIZUKI Shigeyoshi,../players/mochizuki_shigeyoshi.html,Nagoya Grampus Eight,152,2,2,0,0,0,0
MORIOKA Ryuzo,../players/morioka_ryuzo.html,Shimizu S-Pulse,556,7,6,0,0,1,0
NAKANISHI Eisuke,../players/nakanishi_eisuke.html,JEF United Ichihara,11,1,0,0,0,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Perugia (ITA),264,3,3,0,0,0,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,82,1,1,0,0,1,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Verdy Kawasaki,90,1,1,0,0,0,0
NANAMI Hiroshi,../players/nanami_hiroshi.html,Jubilo Iwata,432,6,6,0,0,0,0
OKANO Masayuki,../players/okano_masayuki.html,Urawa Reds,64,1,1,0,0,0,0
OKU Daisuke,../players/oku_daisuke.html,Jubilo Iwata,156,5,1,1,0,0,0
SAITO Toshihide,../players/saito_toshihide.html,Shimizu S-Pulse,314,4,3,0,0,1,0
SAWANOBORI Masaaki,../players/sawanobori_masaaki.html,Shimizu S-Pulse,44,1,0,0,0,0,0
SOMA Naoki,../players/soma_naoki.html,Kashima Antlers,450,5,5,0,0,0,0
TASAKA Kazuaki,../players/tasaka_kazuaki.html,Shimizu S-Pulse,167,3,3,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Kashima Antlers,173,4,1,0,0,0,0
YOSHIHARA Kota,../players/yoshihara_kota.html,Consadole Sapporo,25,1,0,0,0,0,0
