Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Yokohama Marinos,1918,21,21,0,0,0,0
SHIMOKAWA Kenichi (GK),../players/shimokawa_kenichi.html,JEF United Ichihara,90,1,1,0,0,0,0
AKITA Yutaka,../players/akita_yutaka.html,Kashima Antlers,1349,16,14,2,0,3,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,90,1,1,0,0,0,0
HIRANO Takashi,../players/hirano_takashi.html,Nagoya Grampus Eight,209,5,3,1,0,0,0
HONDA Yasuto,../players/honda_yasuto.html,Kashima Antlers,865,14,11,1,0,2,0
IHARA Masami,../players/ihara_masami.html,Yokohama Marinos,1874,21,21,1,0,4,0
ITO Teruyoshi,../players/ito_teruyoshi.html,Shimizu S-Pulse,13,1,0,0,0,0,0
JO Shoji,../players/jo_shoji.html,Yokohama Marinos,831,13,9,4,0,1,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,463,11,5,0,0,1,0
KUROSAKI Hisashi,../players/kurosaki_hisashi.html,Kashima Antlers,65,1,1,0,0,0,0
LOPES Wagner,../players/lopes_wagner.html,Bellmare Hiratsuka,434,6,4,3,0,2,0
MAEZONO Masakiyo,../players/maezono_masakiyo.html,Yokohama Flugels → Verdy Kawasaki,180,2,2,0,0,0,0
MICHIKI Ryuji,../players/michiki_ryuji.html,Sanfrecce Hiroshima,101,3,1,0,0,1,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Verdy Kawasaki,1683,19,19,18,3,2,0
MOCHIZUKI Shigeyoshi,../players/mochizuki_shigeyoshi.html,Nagoya Grampus Eight,37,2,0,0,0,0,0
MORISHIMA Hiroaki,../players/morishima_hiroaki.html,Cerezo Osaka,677,14,7,5,0,0,0
MORIYAMA Yasuyuki,../players/moriyama_yasuyuki.html,Nagoya Grampus Eight,23,1,0,0,0,0,0
NAKAMURA Tadashi,../players/nakamura_tadashi.html,Verdy Kawasaki,565,8,6,0,0,0,0
NAKANISHI Eisuke,../players/nakanishi_eisuke.html,JEF United Ichihara,154,5,1,0,0,1,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Bellmare Hiratsuka,1367,16,15,5,0,0,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,127,2,2,2,0,0,0
NANAMI Hiroshi,../players/nanami_hiroshi.html,Jubilo Iwata,1891,21,21,3,0,1,0
NARAHASHI Akira,../players/narahashi_akira.html,Kashima Antlers,945,13,11,0,0,2,0
NISHIZAWA Akinori,../players/nishizawa_akinori.html,Cerezo Osaka,229,5,2,2,0,0,0
OKANO Masayuki,../players/okano_masayuki.html,Urawa Reds,194,5,1,1,0,0,0
OMURA Norio,../players/omura_norio.html,Yokohama Marinos,893,10,10,2,0,3,0
SAITO Toshihide,../players/saito_toshihide.html,Shimizu S-Pulse,511,7,6,0,0,0,0
SOMA Naoki,../players/soma_naoki.html,Kashima Antlers,1775,21,20,1,0,0,0
SUZUKI Hideto,../players/suzuki_hideto.html,Jubilo Iwata,90,1,1,0,0,0,0
TAKAGI Takuya,../players/takagi_takuya.html,Sanfrecce Hiroshima,231,5,2,7,0,1,0
WATANABE Takeshi,../players/watanabe_takeshi.html,Kashiwa Reysol,13,1,0,0,0,0,0
YAMAGUCHI Motohiro,../players/yamaguchi_motohiro.html,Yokohama Flugels,1822,22,20,1,0,1,0
YANAGIMOTO Hiroshige,../players/yanagimoto_hiroshige.html,Sanfrecce Hiroshima,379,5,4,0,0,0,0
