Player,Link,Club,MP,GP,GS,G,PK,YC,RC
SATO Choei (GK),../players/sato_choei.html,Furukawa Electric,90,1,1,0,0,0,0
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,1170,13,13,0,0,0,0
FUJIGUCHI Mitsunori,../players/fujiguchi_mitsunori.html,Mitsubishi Heavy Industries,900+?,12,11,2,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,1025,12,11,1,1,0,0
FURUTA Atsuyoshi,../players/furuta_atsuyoshi.html,Toyo Kogyo,540,6,6,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Waseda University,360,6,6,1,0,0,0
HASEGAWA Haruhisa,../players/hasegawa_haruhisa.html,Osaka University of Commerce,231,4,3,0,0,0,0
HOSOTANI Ichiro,../players/hosotani_ichiro.html,Mitsubishi Heavy Industries,?,4,3,1,0,0,0
IMAI Keizo,../players/imai_keizo.html,Fujita,1170,13,13,0,0,0,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Chuo University,1170+?,14,13,0,0,0,0
KATO Hisashi,../players/kato_hisashi.html,Waseda University,375,5,4,1,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Furukawa Electric,409+?,7,5,1,0,0,0
MOCHIZUKI Toyohito,../players/mochizuki_toyohito.html,Fujitsu,123,2,2,0,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,939+?,12,11,1,0,0,0
NAGASAWA Kazuaki,../players/nagasawa_kazuaki.html,Tokyo University of Agriculture,360+?,6,4,0,0,0,0
NISHINO Akira,../players/nishino_akira.html,Hitachi,450+?,8,6,1,0,0,0
OCHIAI Hiroshi,../players/ochiai_hiroshi.html,Mitsubishi Heavy Industries,1260,14,14,3,0,0,0
OMI Yukitaka,../players/omi_yukitaka.html,Yomiuri Soccer Club,90,1,1,0,0,0,0
SAITO Kazuo,../players/saito_kazuo.html,Mitsubishi Heavy Industries,656+?,9,9,0,0,0,0
SEKIGUCHI Hisao,../players/sekiguchi_hisao.html,Mitsubishi Heavy Industries,180+?,3,3,1,0,0,0
SONOBE Tsutomu,../players/sonobe_tsutomu.html,Fujita,325,4,4,0,0,0,0
SUGAMATA Tetsuo,../players/sugamata_tetsuo.html,Hosei University,57,1,0,0,0,0,0
USUI Hiroyuki,../players/usui_hiroyuki.html,Hitachi,900+?,14,11,7,0,0,0
