Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Jubilo Iwata,540,6,6,0,0,0,0
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Kawasaki Frontale,90,1,1,0,0,0,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus,1080,12,12,0,0,0,0
ABE Yuki,../players/abe_yuki.html,Urawa Reds,769,9,9,0,0,1,0
AOKI Takeshi,../players/aoki_takeshi.html,Kashima Antlers,46,1,1,0,0,0,0
BANDO Ryuji,../players/bando_ryuji.html,Gamba Osaka,111,4,1,0,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,1340,16,15,3,2,0,0
HANYU Naotake,../players/hanyu_naotake.html,FC Tokyo,134,5,1,0,0,0,0
HASEBE Makoto,../players/hasebe_makoto.html,VfL Wolfsburg (GER),831,10,9,0,0,1,0
HASHIMOTO Hideo,../players/hashimoto_hideo.html,Gamba Osaka,79,2,1,0,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,VVV-Venlo (NED),80,1,1,0,0,1,0
INAMOTO Junichi,../players/inamoto_junichi.html,Eintracht Frankfurt (GER),79,2,1,0,0,0,0
KAGAWA Shinji,../players/kagawa_shinji.html,Cerezo Osaka,255,6,2,1,0,2,0
KAJI Akira,../players/kaji_akira.html,Gamba Osaka,243,4,2,0,0,1,0
KOMANO Yuichi,../players/komano_yuichi.html,Jubilo Iwata,902,13,10,0,0,1,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,460,12,4,0,0,0,0
KOROKI Shinzo,../players/koroki_shinzo.html,Kashima Antlers,42,2,0,0,0,0,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,26,1,0,1,0,0,0
MAKI Seiichiro,../players/maki_seiichiro.html,JEF United Chiba,339,9,4,1,0,0,0
MATSUI Daisuke,../players/matsui_daisuke.html,Le Mans (FRA) → Saint-Etienne (FRA),446,7,5,0,0,3,0
MIZUMOTO Hiroki,../players/mizumoto_hiroki.html,Gamba Osaka,90,1,1,0,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,FC Tokyo,577,7,6,1,0,0,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,895,13,10,2,0,1,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Celtic (SCO),770,9,9,2,0,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1440,16,16,4,0,0,0
OGURO Masashi,../players/oguro_masashi.html,Tokyo Verdy,22,1,0,0,0,0,0
OKAZAKI Shinji,../players/okazaki_shinji.html,Shimizu S-Pulse,204,4,2,0,0,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,Vissel Kobe,840,12,10,3,0,1,1
ONO Shinji,../players/ono_shinji.html,VfL Bochum (GER),90,1,1,0,0,1,0
SATO Hisato,../players/sato_hisato.html,Sanfrecce Hiroshima,144,6,1,0,0,0,0
SUZUKI Keita,../players/suzuki_keita.html,Urawa Reds,693,8,8,0,0,1,0
TAKAGI Kazumichi,../players/takagi_kazumichi.html,Shimizu S-Pulse,168,3,1,0,0,0,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Urawa Reds,252,4,3,0,0,0,0
TAMADA Keiji,../players/tamada_keiji.html,Nagoya Grampus,862,12,11,4,0,0,0
TANAKA Marcus Tulio,../players/tanaka_marcus_tulio.html,Urawa Reds,866,10,10,2,0,0,0
TANAKA Tatsuya,../players/tanaka_tatsuya.html,Urawa Reds,283,4,4,1,0,0,0
TASHIRO Yuzo,../players/tashiro_yuzo.html,Kashima Antlers,270,3,3,0,0,0,0
TERADA Shuhei,../players/terada_shuhei.html,Kawasaki Frontale,272,4,4,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Kashima Antlers,1215,14,14,1,0,2,0
YAMAGISHI Satoru,../players/yamagishi_satoru.html,Kawasaki Frontale,139,3,2,0,0,0,0
YAMASE Koji,../players/yamase_koji.html,Yokohama F. Marinos,495,10,5,4,0,0,0
YANO Kisho,../players/yano_kisho.html,Albirex Niigata,58,5,0,0,0,1,0
YASUDA Michihiro,../players/yasuda_michihiro.html,Gamba Osaka,257,5,3,0,0,0,0
