Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FURUKAWA Yoshio (GK),../players/furukawa_yoshio.html,Dunlop Japan,90,1,1,0,0,0,0
HOSAKA Tsukasa (GK),../players/hosaka_tsukasa.html,Furukawa Electric,500,6,6,0,0,0,0
HIRAKI Ryuzo,../players/hiraki_ryuzo.html,Furukawa Electric,170,2,2,0,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,590,7,7,1,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Keio University,330,4,4,0,0,0,0
KAWABUCHI Saburo,../players/kawabuchi_saburo.html,Furukawa Electric,390+?,6,5,1,0,0,0
KAWANISHI Takehiko,../players/kawanishi_takehiko.html,Toyo Kogyo,420,5,5,0,0,0,0
KUWATA Takayuki,../players/kuwata_takayuki.html,Waseda University,170,2,2,1,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,500,6,6,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,330+?,5,5,3,0,0,0
NAGANUMA Ken,../players/naganuma_ken.html,Furukawa Electric,?,1,1,0,0,0,0
NINOMIYA Hiroshi,../players/ninomiya_hiroshi.html,New Mitsubishi Heavy Industries,41,1,1,0,0,0,0
OZAWA Michihiro,../players/ozawa_michihiro.html,Toyo Kogyo,500,6,6,0,0,0,0
SAEKI Hiroshi,../players/saeki_hiroshi.html,Yawata Iron & Steel,90+?,2,2,0,0,0,0
SASAKI Koji,../players/sasaki_koji.html,Dunlop Japan,240,3,3,0,0,0,0
SHIJI Tatsuo,../players/shiji_tatsuo.html,Kwansei Gakuin University,39,1,0,1,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Free Agent,110+?,3,2,0,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Rikkyo University,90,1,1,0,0,0,0
TAKAMORI Yasuo,../players/takamori_yasuo.html,Nippon Kokan,180,2,2,0,0,0,0
TOCHIO Kenji,../players/tochio_kenji.html,Furukawa Electric,170,2,2,0,0,0,0
TSUGITANI Shozo,../players/tsugitani_shozo.html,Kwansei Gakuin University,90+?,2,1,0,0,0,0
UCHINO Masao,../players/uchino_masao.html,Furukawa Electric,90+?,2,1,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Rikkyo University,500,6,6,1,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,500+?,7,6,2,0,0,0
