Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Portsmouth (ENG),180,2,2,0,0,1,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,900,10,10,0,0,0,0
SOGAHATA Hitoshi (GK),../players/sogahata_hitoshi.html,Kashima Antlers,90,1,1,0,0,0,0
AKITA Yutaka,../players/akita_yutaka.html,Kashima Antlers,196,3,2,0,0,1,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,23,1,0,0,0,0,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,445,10,4,0,0,1,0
HATO Yasuhiro,../players/hato_yasuhiro.html,Yokohama F. Marinos,119,5,1,0,0,1,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,170,5,2,0,0,0,0
ICHIKAWA Daisuke,../players/ichikawa_daisuke.html,Shimizu S-Pulse,462,9,5,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Arsenal (ENG) → Fulham (ENG),678,10,10,2,0,2,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Sanfrecce Hiroshima,129,5,1,0,0,0,0
MATSUDA Naoki,../players/matsuda_naoki.html,Yokohama F. Marinos,1036,12,12,0,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,865,11,9,0,0,2,0
MORIOKA Ryuzo,../players/morioka_ryuzo.html,Shimizu S-Pulse,145,2,2,0,0,1,0
MORISHIMA Hiroaki,../players/morishima_hiroaki.html,Cerezo Osaka,351,8,4,1,0,0,0
MYOJIN Tomokazu,../players/myojin_tomokazu.html,Kashiwa Reysol,516,10,4,1,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Yokohama F. Marinos → Reggina (ITA),367,6,4,2,0,0,0
NAKANISHI Eisuke,../players/nakanishi_eisuke.html,JEF United Ichihara,90,1,1,0,0,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Parma (ITA),688,8,8,2,0,0,0
NAKATA Koji,../players/nakata_koji.html,Kashima Antlers,1079,13,12,0,0,3,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,55,3,0,0,0,1,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,90,1,1,0,0,0,0
NARAHASHI Akira,../players/narahashi_akira.html,Kashima Antlers,152,2,2,0,0,0,0
NISHIZAWA Akinori,../players/nishizawa_akinori.html,Cerezo Osaka,354,5,4,1,0,0,0
OGASAWARA Mitsuo,../players/ogasawara_mitsuo.html,Kashima Antlers,198,8,2,0,0,0,0
ONO Shinji,../players/ono_shinji.html,Feyenoord (NED),637,8,8,1,0,0,0
SANTOS Alessandro,../players/santos_alessandro.html,Shimizu S-Pulse,374,9,4,1,1,2,0
SUZUKI Takayuki,../players/suzuki_takayuki.html,Kashima Antlers → Racing Genk (BEL),867,13,9,1,0,0,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Jubilo Iwata,249,4,3,1,0,0,0
TODA Kazuyuki,../players/toda_kazuyuki.html,Shimizu S-Pulse,819,10,9,1,0,3,0
YAMADA Nobuhisa,../players/yamada_nobuhisa.html,Urawa Reds,28,1,0,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Kashima Antlers,518,9,7,0,0,0,0
