Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUNAGA Shigetatsu (GK),../players/matsunaga_shigetatsu.html,Nissan Motor,794,9,9,0,0,0,0
MORISHITA Shinichi (GK),../players/morishita_shinichi.html,Yamaha,196,3,2,0,0,0,0
ASAOKA Tomoyasu,../players/asaoka_tomoyasu.html,NKK → Yomiuri Soccer Club,115,2,1,0,0,0,0
HASEGAWA Kenta,../players/hasegawa_kenta.html,Nissan Motor,968,11,11,1,0,0,0
HASHIRATANI Tetsuji,../players/hashiratani_tetsuji.html,Nissan Motor,890,10,10,0,0,0,0
HIRAKAWA Hiroshi,../players/hirakawa_hiroshi.html,Nissan Motor,111,2,1,0,0,0,0
HORIIKE Takumi,../players/horiike_takumi.html,Yomiuri Soccer Club,918,11,10,1,0,0,0
IHARA Masami,../players/ihara_masami.html,University of Tsukuba,990,11,11,0,0,1,0
KAJINO Tomoyuki,../players/kajino_tomoyuki.html,Yanmar,641,8,7,1,0,0,0
KUROSAKI Hisashi,../players/kurosaki_hisashi.html,Honda Motor,191,7,1,1,0,0,0
MAEDA Osamu,../players/maeda_osamu.html,All Nippon Airways Soccer Club,684,9,8,5,0,0,0
MATSUYAMA Yoshiyuki,../players/matsuyama_yoshiyuki.html,Furukawa Electric,26,1,0,0,0,0,0
MIZUNUMA Takashi,../players/mizunuma_takashi.html,Nissan Motor,496,8,6,1,0,0,0
MOCHIZUKI Satoshi,../players/mochizuki_satoshi.html,NKK,274,4,3,0,0,0,0
MORI Masaaki,../players/mori_masaaki.html,Fujita,550,7,7,0,0,0,0
NATORI Atsushi,../players/natori_atsushi.html,Mitsubishi Heavy Industries,277,5,2,0,0,0,0
OENOKI Katsumi,../players/oenoki_katsumi.html,Yamaha,273,4,3,0,0,0,0
SANO Toru,../players/sano_toru.html,Nissan Motor,90,1,1,0,0,0,0
SASAKI Masanao,../players/sasaki_masanao.html,Honda Motor,990,11,11,0,0,1,0
SHINTO Katsuyoshi,../players/shinto_katsuyoshi.html,Mazda,660,8,7,1,0,0,0
YOSHIDA Mitsunori,../players/yoshida_mitsunori.html,Yamaha,756,10,9,1,0,0,0
