Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FUNAMOTO Koji (GK),../players/funamoto_koji.html,Toyo Kogyo,103,2,1,0,0,0,0
SETA Tatsuhiko (GK),../players/seta_tatsuhiko.html,Hitachi,167,2,2,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,210,2,2,0,0,0,0
ARAI Kozo,../players/arai_kozo.html,Furukawa Electric,480,5,5,0,0,0,0
ASHIKAGA Michio,../players/ashikaga_michio.html,Mitsubishi Heavy Industries,148,2,2,0,0,0,0
DAINI Kuniya,../players/daini_kuniya.html,Mitsubishi Heavy Industries,390,4,4,0,0,0,0
FUJIGUCHI Mitsunori,../players/fujiguchi_mitsunori.html,Keio University,132,2,2,0,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,258,4,2,0,0,0,0
FURUTA Atsuyoshi,../players/furuta_atsuyoshi.html,Waseda University,223,3,2,0,0,0,0
HIDAKA Noritaka,../players/hidaka_noritaka.html,Nippon Steel,287,3,3,0,0,0,0
HIRASAWA Shusaku,../players/hirasawa_shusaku.html,Hitachi,365,4,4,1,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,300,3,3,2,0,0,0
KAWAKAMI Nobuo,../players/kawakami_nobuo.html,Hitachi,480,5,5,0,0,0,0
KOBATA Minoru,../players/kobata_minoru.html,Hitachi,74,2,0,0,0,0,0
MATSUNAGA Akira,../players/matsunaga_akira_19480808.html,Hitachi,110,3,0,0,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,90,1,1,1,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,379,5,4,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,480,5,5,0,0,0,0
TAKADA Kazumi,../players/takada_kazumi.html,Mitsubishi Heavy Industries,158,3,3,0,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Hitachi,257,3,3,0,0,0,0
YOSHIMURA Daishiro,../players/yoshimura_daishiro.html,Yanmar,189,3,2,0,0,0,0
