Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FUNAMOTO Koji (GK),../players/funamoto_koji.html,Toyo Kogyo,90,1,1,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,1110,12,12,0,0,0,0
ARAI Kozo,../players/arai_kozo.html,Furukawa Electric,526,6,6,0,0,0,0
HARA Masafumi,../players/hara_masafumi.html,Nippon Steel,360+?,5,5,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,526,6,6,3,0,0,0
KAWAKAMI Nobuo,../players/kawakami_nobuo.html,Rikkyo University,270+?,4,3,0,0,0,0
KIKUGAWA Yoshio,../players/kikugawa_yoshio.html,Mitsubishi Heavy Industries,1110,12,12,0,0,0,0
KIMURA Takeo,../players/kimura_takeo.html,Furukawa Electric,602,8,8,3,0,0,0
KOBATA Minoru,../players/kobata_minoru.html,Hitachi,508+?,11,5,0,0,0,0
KUWAHARA Yasuyuki,../players/kuwahara_yasuyuki.html,Toyo Kogyo,90,1,1,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Nippon Steel,725+?,12,10,1,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,1154,13,12,0,0,0,0
NIMURA Teruo,../players/nimura_teruo.html,Toyo Kogyo,150+?,5,3,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,1200,13,13,2,1,0,0
OMI Yusuke,../players/omi_yusuke.html,Hitachi,210+?,5,2,1,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Mitsubishi Heavy Industries,884+?,11,10,1,0,0,0
TAKADA Kazumi,../players/takada_kazumi.html,Nihon University,226+?,4,4,0,0,0,0
TOMIZAWA Kiyoshi,../players/tomizawa_kiyoshi.html,Nippon Steel,134,2,1,0,0,0,0
UEDA Tadahiko,../players/ueda_tadahiko.html,Nippon Steel,819,10,8,7,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Hitachi,1066,12,12,0,0,0,0
YOSHIMIZU Norio,../players/yoshimizu_norio.html,Furukawa Electric,114+?,4,2,1,0,0,0
YOSHIMURA Nelson,../players/yoshimura_daishiro.html,Yanmar,260+?,4,3,1,0,0,0
YUGUCHI Eizo,../players/yuguchi_eizo.html,Yanmar,346,4,4,1,0,0,0
