Player,Link,Club,MP,GP,GS,G,PK,YC,RC
HOSAKA Tsukasa (GK),../players/hosaka_tsukasa.html,Furukawa Electric,90,1,1,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Rikkyo University,90,1,1,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Waseda University,165,2,1,1,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,180,2,2,0,0,0,0
KAMI Hisao,../players/kami_hisao.html,Yawata Iron & Steel,90,1,1,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,90,1,1,0,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,90,1,1,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,105,2,2,0,0,0,0
NISHIYAMA Takao,../players/nishiyama_takao.html,Waseda University,90,1,1,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Chuo University,90,1,1,0,0,0,0
OISHI Nobuyuki,../players/oishi_nobuyuki.html,Yawata Iron & Steel,46,1,1,0,0,0,0
OZAWA Michihiro,../players/ozawa_michihiro.html,Toyo Kogyo,90,1,1,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Meiji University,134,2,1,1,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Hitachi Head Office,180,2,2,0,0,0,0
TSUGITANI Shozo,../players/tsugitani_shozo.html,Mitsubishi Heavy Industries,90,1,1,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,90,1,1,0,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,180,2,2,2,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Chuo University,90,1,1,0,0,0,0
