Player,Link,Club,MP,GP,GS,G,PK,YC,RC
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,720,8,8,0,0,0,0
YASUDA Michio (GK),../players/yasuda_michio.html,Nippon Steel,90,1,1,0,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,156+?,3,3,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Waseda University,?,2,0,0,0,0,0
HASEGAWA Haruhisa,../players/hasegawa_haruhisa.html,Osaka University of Commerce,24,1,0,0,0,0,0
IMAI Keizo,../players/imai_keizo.html,Fujita,810,9,9,0,0,0,0
ISHII Shigemi,../players/ishii_shigemi.html,Furukawa Electric,540,6,6,0,0,0,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Chuo University,224,3,2,0,0,0,0
KATO Mitsuo,../players/kato_mitsuo.html,Mitsubishi Heavy Industries,?,1,0,0,0,0,0
KAWACHI Katsuyuki,../players/kawachi_katsuyuki.html,Toyo Kogyo,226,3,3,0,0,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Meiji University,180+?,3,2,0,0,0,0
KISHIOKU Yuji,../players/kishioku_yuji.html,Nippon Steel,180+?,5,3,0,0,0,0
KIYOKUMO Eijun,../players/kiyokumo_eijun.html,Furukawa Electric,810,9,9,0,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Furukawa Electric,772,9,8,3,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,810,9,9,3,0,0,0
NAKAMURA Kazuyoshi,../players/nakamura_kazuyoshi.html,Fujitsu,180+?,5,5,1,0,0,0
OCHIAI Hiroshi,../players/ochiai_hiroshi.html,Mitsubishi Heavy Industries,810,9,9,1,0,0,0
SUDO Shigemitsu,../players/sudo_shigemitsu.html,Hitachi,?,1,0,0,0,0,0
TASHIMA Kozo,../players/tashima_kozo.html,University of Tsukuba,?,4,2,0,0,0,0
UEKI Shigeharu,../players/ueki_shigeharu.html,Fujita,?,1,0,0,0,0,0
USUI Hiroyuki,../players/usui_hiroyuki.html,Hitachi,630+?,9,9,3,0,0,0
WATANABE Mitsuo,../players/watanabe_mitsuo.html,Fujita,308+?,6,6,0,0,0,0
WATANABE Yoshiichi,../players/watanabe_yoshiichi.html,Toyo Kogyo,360+?,6,5,1,0,0,0
YOKOYAMA Masafumi,../players/yokoyama_masafumi.html,Nippon Steel,?,1,0,0,0,0,0
