Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FUNAMOTO Koji (GK),../players/funamoto_koji.html,Toyo Kogyo,90,1,1,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,270,3,3,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,360,4,4,7,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,270,3,3,0,0,0,0
KAMI Hisao,../players/kami_hisao.html,Yawata Iron & Steel,90+?,2,1,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,270,3,3,0,0,0,0
KAWANO Junji,../players/kawano_junji.html,Tokyo University of Education,90,1,1,0,0,0,0
KIMURA Takeo,../players/kimura_takeo.html,Furukawa Electric,90+?,2,1,0,0,0,0
KUWAHARA Yasuyuki,../players/kuwahara_yasuyuki.html,Toyo Kogyo,15+?,2,1,1,0,0,0
MATSUMOTO Ikuo,../players/matsumoto_ikuo.html,Toyo Kogyo,90+?,2,2,0,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,180,2,2,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,270+?,4,4,0,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,270+?,4,3,0,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,90+?,3,3,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Mitsubishi Heavy Industries,314,4,3,1,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Hitachi Head Office,?,2,1,0,0,0,0
TOMIZAWA Kiyoshi,../players/tomizawa_kiyoshi.html,Yawata Iron & Steel,?,1,1,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,136,2,2,0,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,255+?,4,3,0,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Hitachi Head Office,270,3,3,0,0,0,0
