Player,Link,Club,MP,GP,GS,G,PK,YC,RC
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Rikkyo University,360,4,4,0,0,0,0
IZUMI Masanobu,../players/izumi_masanobu.html,Meiji University,90,1,1,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Waseda University,270,3,3,3,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,180+?,3,2,0,0,0,0
KAMI Hisao,../players/kami_hisao.html,Yawata Iron & Steel,180+?,3,2,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
KAWABUCHI Saburo,../players/kawabuchi_saburo.html,Furukawa Electric,90+?,2,2,0,0,0,0
KUWAHARA Katsuyoshi,../players/kuwahara_katsuyoshi.html,Nippon Light Metal,?,2,0,0,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,90+?,2,2,1,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,270+?,4,3,1,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Chuo University,90+?,2,1,0,0,0,0
ONO Takeshi,../players/ono_takeshi.html,Waseda University,90,1,1,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Meiji University,360,4,4,3,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Hitachi Head Office,?,1,1,0,0,0,0
TOMIZAWA Kiyoshi,../players/tomizawa_kiyoshi.html,Yawata Iron & Steel,90+?,2,2,0,0,0,0
TSUGITANI Shozo,../players/tsugitani_shozo.html,Mitsubishi Heavy Industries,90+?,2,2,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,270,3,3,0,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,90+?,4,3,0,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Chuo University,360,4,4,0,0,0,0
