Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Yokohama Marinos,810,9,9,0,0,1,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Yokohama Flugels,180,2,2,0,0,0,0
AKITA Yutaka,../players/akita_yutaka.html,Kashima Antlers,888,10,10,0,0,2,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,291,5,3,0,0,0,0
HIRANO Takashi,../players/hirano_takashi.html,Nagoya Grampus Eight,114,7,0,2,0,1,0
ICHIKAWA Daisuke,../players/ichikawa_daisuke.html,Shimizu S-Pulse,90,1,1,0,0,0,0
IHARA Masami,../players/ihara_masami.html,Yokohama Marinos,836,10,10,0,0,3,0
ITO Teruyoshi,../players/ito_teruyoshi.html,Shimizu S-Pulse,27,1,0,0,0,0,0
JO Shoji,../players/jo_shoji.html,Yokohama Marinos,708,10,8,1,0,0,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,137,3,2,0,0,0,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Sanfrecce Hiroshima,31,1,0,0,0,0,0
LOPES Wagner,../players/lopes_wagner.html,Bellmare Hiratsuka,206,7,1,0,0,0,0
MASUDA Tadatoshi,../players/masuda_tadatoshi.html,Kashima Antlers,63,1,1,0,0,0,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Verdy Kawasaki,57,1,1,0,0,0,0
MOCHIZUKI Shigeyoshi,../players/mochizuki_shigeyoshi.html,Nagoya Grampus Eight,84,1,1,0,0,0,0
MORISHIMA Hiroaki,../players/morishima_hiroaki.html,Cerezo Osaka,82,3,1,0,0,0,0
NAKAMURA Tadashi,../players/nakamura_tadashi.html,Verdy Kawasaki,19,1,0,0,0,0,0
NAKANISHI Eisuke,../players/nakanishi_eisuke.html,JEF United Ichihara,342,6,4,0,0,3,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Bellmare Hiratsuka → Perugia (ITA),882,10,10,1,1,0,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,719,10,10,4,1,0,0
NANAMI Hiroshi,../players/nanami_hiroshi.html,Jubilo Iwata,935,11,11,0,0,1,0
NARAHASHI Akira,../players/narahashi_akira.html,Kashima Antlers,799,9,9,0,0,0,0
OKANO Masayuki,../players/okano_masayuki.html,Urawa Reds,98,5,0,0,0,0,0
OKU Daisuke,../players/oku_daisuke.html,Jubilo Iwata,90,1,1,0,0,0,0
OMURA Norio,../players/omura_norio.html,Yokohama Marinos,213,4,2,0,0,1,0
ONO Shinji,../players/ono_shinji.html,Urawa Reds,61,3,0,0,0,0,0
SAITO Toshihide,../players/saito_toshihide.html,Shimizu S-Pulse,314,4,3,0,0,0,0
SOMA Naoki,../players/soma_naoki.html,Kashima Antlers,861,10,10,1,0,0,0
YAMAGUCHI Motohiro,../players/yamaguchi_motohiro.html,Yokohama Flugels,787,9,9,0,0,4,1
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Kashima Antlers,155,2,2,0,0,0,0
