Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MURAOKA Hiroto (GK),../players/muraoka_hiroto.html,Tokyo University of Education → Kyodai Club,170,2,2,0,0,0,0
WATANABE Hidemaro (GK),../players/watanabe_hidemaro.html,Chugoku Electric Power,170,2,2,0,0,0,0
HIRAKI Ryuzo,../players/hiraki_ryuzo.html,Kwansei Gakuin University,250,3,3,0,0,0,0
INOUE Takeshi,../players/inoue_takeshi.html,New Mitsubishi Heavy Industries,90,1,1,0,0,0,0
IWATANI Toshio,../players/iwatani_toshio.html,Osaka Club,131,2,2,2,0,0,0
KAGAWA Taro,../players/kagawa_taro.html,Tanabe Seiyaku,221,3,3,0,0,0,0
KANO Takashi,../players/kano_takashi.html,Waseda WMW,340,4,4,2,1,0,0
KAWAMOTO Taizo,../players/kawamoto_taizo.html,Osaka Club,250,3,3,0,0,0,0
KIMURA Arawa,../players/kimura_arawa.html,Kwangaku Club,131,2,2,0,0,0,0
MATSUNAGA Nobuo,../players/matsunaga_nobuo.html,Nippon Light Metal,250,3,3,0,0,0,0
MIYATA Koji,../players/miyata_koji.html,Tanabe Seiyaku,250,3,3,0,0,0,0
NAGANUMA Ken,../players/naganuma_ken.html,Chuo University,131,2,2,1,0,0,0
NINOMIYA Hirokazu,../players/ninomiya_hirokazu.html,Keio BRB,209,3,2,0,0,0,0
OKADA Yoshio,../players/okada_yoshio.html,Rokko Club,340,4,4,0,0,0,0
ONO Masao,../players/ono_masao.html,Nissan Chemical,250,3,3,0,0,0,0
SUGIMOTO Shigeo,../players/sugimoto_shigeo.html,Hankyu Railways,90,1,1,0,0,0,0
TAKABAYASHI Takashi,../players/takabayashi_takashi.html,Rikkyo University → Tanabe Seiyaku,168,3,1,2,0,0,0
TOKITA Masanori,../players/tokita_masanori.html,Tanabe Seiyaku,209,3,2,1,0,0,0
YAMAJI Osamu,../players/yamaji_osamu.html,Sumitomo Metals,90,1,1,0,0,0,0
