Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Yokohama F. Marinos,720,8,8,0,0,0,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,810,9,9,0,0,0,0
TAKAKUWA Daijiro (GK),../players/takakuwa_daijiro.html,Kashima Antlers,90,1,1,0,0,0,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,865,12,9,1,0,0,0
HIRANO Takashi,../players/hirano_takashi.html,Nagoya Grampus Eight,179,3,2,1,0,0,0
HIRASE Tomoyuki,../players/hirase_tomoyuki.html,Kashima Antlers,99,2,1,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Gamba Osaka,1227,14,14,0,0,2,0
ITO Teruyoshi,../players/ito_teruyoshi.html,Shimizu S-Pulse,520,7,7,0,0,0,0
JO Shoji,../players/jo_shoji.html,Real Valladolid (ESP),159,2,2,2,0,0,0
KAIMOTO Keiji,../players/kaimoto_keiji.html,Vissel Kobe,39,1,1,0,0,2,1
KITAJIMA Hideaki,../players/kitajima_hideaki.html,Kashiwa Reysol,124,3,2,1,0,0,0
KOJIMA Hiromi,../players/kojima_hiromi.html,Gamba Osaka,9,1,0,0,0,0,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Sanfrecce Hiroshima,127,5,2,0,0,0,0
MATSUDA Naoki,../players/matsuda_naoki.html,Yokohama F. Marinos,1172,14,14,0,0,4,0
MIURA Atsuhiro,../players/miura_atsuhiro.html,Yokohama F. Marinos,358,8,3,0,0,0,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Kyoto Purple Sanga,133,5,2,2,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,134,2,1,0,0,0,0
MOCHIZUKI Shigeyoshi,../players/mochizuki_shigeyoshi.html,Nagoya Grampus Eight → Kyoto Purple Sanga,617,9,7,1,0,1,0
MORIOKA Ryuzo,../players/morioka_ryuzo.html,Shimizu S-Pulse,1245,14,14,0,0,1,0
MORISHIMA Hiroaki,../players/morishima_hiroaki.html,Cerezo Osaka,734,10,8,3,0,0,0
MOTOYAMA Masashi,../players/motoyama_masashi.html,Kashima Antlers,35,3,0,0,0,0,0
MYOJIN Tomokazu,../players/myojin_tomokazu.html,Kashiwa Reysol,669,9,6,2,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Yokohama F. Marinos,1118,16,14,3,0,1,0
NAKANISHI Eisuke,../players/nakanishi_eisuke.html,JEF United Ichihara,17,1,0,0,0,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,AS Roma (ITA),360,4,4,0,0,0,0
NAKATA Koji,../players/nakata_koji.html,Kashima Antlers,561,7,6,0,0,0,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,557,7,6,6,1,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Verdy Kawasaki,540,6,6,2,0,0,0
NANAMI Hiroshi,../players/nanami_hiroshi.html,Venezia (ITA) → Jubilo Iwata,1062,12,12,3,0,1,0
NISHIZAWA Akinori,../players/nishizawa_akinori.html,Cerezo Osaka,737,11,9,6,0,1,0
OIWA Go,../players/oiwa_go.html,Nagoya Grampus Eight,270,3,3,0,0,0,0
OKU Daisuke,../players/oku_daisuke.html,Jubilo Iwata,518,12,4,1,0,3,0
ONO Shinji,../players/ono_shinji.html,Urawa Reds,616,12,8,1,0,1,0
SAKAI Tomoyuki,../players/sakai_tomoyuki.html,JEF United Ichihara,21,1,0,0,0,0,0
SAWANOBORI Masaaki,../players/sawanobori_masaaki.html,Shimizu S-Pulse,175,4,2,1,0,0,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Jubilo Iwata,632,11,6,8,0,1,0
UENO Yoshiharu,../players/ueno_yoshiharu.html,Yokohama F. Marinos,46,1,1,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Kashima Antlers,430,10,4,4,0,0,0
YONEYAMA Atsushi,../players/yoneyama_atsushi.html,Verdy Kawasaki,44,1,0,0,0,1,0
