Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Jubilo Iwata,1710,19,19,0,0,1,0
ABE Yuki,../players/abe_yuki.html,JEF United Chiba,658,8,7,1,0,1,0
BANDO Ryuji,../players/bando_ryuji.html,Gamba Osaka,91,2,1,2,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,553,8,7,0,0,1,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,841,11,11,1,0,0,0
FUTAGAWA Takahiro,../players/futagawa_takahiro.html,Gamba Osaka,4,1,0,0,0,0,0
GANAHA Kazuki,../players/ganaha_kazuki.html,Kawasaki Frontale,216,6,2,3,0,0,0
HANYU Naotake,../players/hanyu_naotake.html,JEF United Chiba,156,5,1,0,0,0,0
HASEBE Makoto,../players/hasebe_makoto.html,Urawa Reds,261,6,2,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,West Bromwich Albion (ENG),175,4,1,0,0,0,0
KAJI Akira,../players/kaji_akira.html,Gamba Osaka,1195,14,14,0,0,2,0
KOBAYASHI Daigo,../players/kobayashi_daigo.html,Omiya Ardija,34,1,0,0,0,0,0
KOMANO Yuichi,../players/komano_yuichi.html,Sanfrecce Hiroshima,741,10,8,0,0,0,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,270,3,3,0,0,0,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Yokohama F. Marinos,430,6,6,3,0,0,0
KURIHARA Yuzo,../players/kurihara_yuzo.html,Yokohama F. Marinos,30,1,0,0,0,0,0
MAKI Seiichiro,../players/maki_seiichiro.html,JEF United Chiba,869,14,10,3,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,972,11,11,0,0,4,0
MIZUMOTO Hiroki,../players/mizumoto_hiroki.html,JEF United Chiba,136,2,2,0,0,0,0
MONIWA Teruyuki,../players/moniwa_teruyuki.html,FC Tokyo,51,2,0,0,0,1,0
MOTOYAMA Masashi,../players/motoyama_masashi.html,Kashima Antlers,27,2,0,0,0,0,0
MURAI Shinji,../players/murai_shinji.html,Jubilo Iwata,116,2,2,0,0,0,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,195,3,2,1,0,1,0
NAKAMURA Naoshi,../players/nakamura_naoshi.html,Nagoya Grampus Eight,16,1,0,0,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Celtic (SCO),540,6,6,1,0,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Bolton Wanderers (ENG),540,6,6,1,0,0,0
NAKATA Koji,../players/nakata_koji.html,FC Basel (SUI),65,2,0,0,0,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1040,12,12,1,0,1,0
OGASAWARA Mitsuo,../players/ogasawara_mitsuo.html,Kashima Antlers,724,10,8,1,0,2,0
OGURO Masashi,../players/oguro_masashi.html,Grenoble (FRA),118,6,1,0,0,0,0
ONO Shinji,../players/ono_shinji.html,Urawa Reds,514,9,5,1,0,2,0
SAKATA Daisuke,../players/sakata_daisuke.html,Yokohama F. Marinos,4,1,0,0,0,0,0
SANTOS Alessandro,../players/santos_alessandro.html,Urawa Reds,1530,19,17,2,0,4,0
SATO Hisato,../players/sato_hisato.html,Sanfrecce Hiroshima,297,12,1,3,0,0,0
SATO Yuto,../players/sato_yuto.html,JEF United Chiba,19,1,0,0,0,0,0
SUZUKI Keita,../players/suzuki_keita.html,Urawa Reds,610,7,7,0,0,0,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Hamburger SV (GER),342,5,4,3,0,1,0
TAKAMATSU Daiki,../players/takamatsu_daiki.html,Oita Trinita,16,1,0,0,0,0,0
TAMADA Keiji,../players/tamada_keiji.html,Nagoya Grampus Eight,446,7,5,2,0,0,0
TANAKA Hayuma,../players/tanaka_hayuma.html,Yokohama F. Marinos,90,1,1,0,0,0,0
TANAKA Makoto,../players/tanaka_makoto.html,Jubilo Iwata,116,2,2,0,0,0,0
TANAKA Marcus Tulio,../players/tanaka_marcus_tulio.html,Urawa Reds,450,5,5,1,0,0,0
TANAKA Tatsuya,../players/tanaka_tatsuya.html,Urawa Reds,292,4,4,0,0,0,0
TSUBOI Keisuke,../players/tsuboi_keisuke.html,Urawa Reds,832,11,10,0,0,0,0
UMESAKI Tsukasa,../players/umesaki_tsukasa.html,Oita Trinita,1,1,0,0,0,0,0
YAMAGISHI Satoru,../players/yamagishi_satoru.html,JEF United Chiba,182,3,2,0,0,0,0
YAMASE Koji,../players/yamase_koji.html,Yokohama F. Marinos,56,1,1,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Messina (ITA) → Kashima Antlers,239,4,3,0,0,1,0
