Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FUNAMOTO Koji (GK),../players/funamoto_koji.html,Toyo Kogyo,676,8,8,0,0,0,0
SETA Tatsuhiko (GK),../players/seta_tatsuhiko.html,Hitachi,450,5,5,0,0,0,0
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,44,1,0,0,0,0,0
ARAI Kozo,../players/arai_kozo.html,Furukawa Electric,180+?,3,2,1,0,0,0
ASHIKAGA Michio,../players/ashikaga_michio.html,Mitsubishi Heavy Industries,44,1,0,0,0,0,0
DAINI Kuniya,../players/daini_kuniya.html,Mitsubishi Heavy Industries,1080,12,12,0,0,0,0
FUJIGUCHI Mitsunori,../players/fujiguchi_mitsunori.html,Mitsubishi Heavy Industries,180+?,4,2,0,0,0,0
FUJISHIMA Nobuo,../players/fujishima_nobuo.html,Nippon Kokan,865+?,12,12,3,0,0,0
FURUTA Atsuyoshi,../players/furuta_atsuyoshi.html,Toyo Kogyo,720+?,11,8,0,0,0,0
ISHII Shigemi,../players/ishii_shigemi.html,Chuo University,?,1,0,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,630,7,7,5,0,0,0
KAWAKAMI Nobuo,../players/kawakami_nobuo.html,Hitachi,805,9,9,0,0,0,0
KIYOKUMO Eijun,../players/kiyokumo_eijun.html,Furukawa Electric,995+?,13,12,0,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Hosei University,363,5,4,1,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,629+?,9,9,0,0,0,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,610+?,11,8,1,0,0,0
OCHIAI Hiroshi,../players/ochiai_hiroshi.html,Mitsubishi Heavy Industries,1124,13,12,3,1,0,0
OKUDERA Yasuhiko,../players/okudera_yasuhiko.html,Furukawa Electric,215+?,5,2,0,0,0,0
TAKADA Kazumi,../players/takada_kazumi.html,Mitsubishi Heavy Industries,158+?,4,4,0,0,0,0
WATANABE Mitsuo,../players/watanabe_mitsuo.html,Fujita,1062,12,12,3,0,0,0
YOKOTANI Masaki,../players/yokotani_masaki.html,Hitachi,900,10,10,0,0,0,0
YOSHIMURA Daishiro,../players/yoshimura_daishiro.html,Yanmar,240+?,6,3,1,0,0,0
