Player,Link,Club,MP,GP,GS,G,PK,YC,RC
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,750,8,8,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Mitsubishi Heavy Industries,500,6,5,3,0,0,0
HASHIRATANI Koichi,../players/hashiratani_koichi.html,Kokushikan University,154,3,2,0,0,0,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Nissan Motor,726,8,8,0,0,0,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,750,8,8,0,0,0,0
KAWAKATSU Ryoichi,../players/kawakatsu_ryoichi.html,Toshiba,107,3,1,0,0,0,0
KAZAMA Yahiro,../players/kazama_yahiro.html,University of Tsukuba,219,4,2,0,0,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Nissan Motor,663,8,7,1,0,0,0
KOSHIDA Takeshi,../players/koshida_takeshi.html,University of Tsukuba,578,7,6,0,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Furukawa Electric,270,3,3,0,0,0,0
MATSUURA Toshio,../players/matsuura_toshio.html,Nippon Kokan,117,2,1,0,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Yanmar,172,2,2,0,0,0,0
NOMURA Mitsugu,../players/nomura_mitsugu.html,Fujita,275,4,3,0,0,0,0
OKADA Takeshi,../players/okada_takeshi.html,Furukawa Electric,210,2,2,1,0,0,0
OZAKI Kazuo,../players/ozaki_kazuo.html,Mitsubishi Heavy Industries,521,7,6,1,1,0,0
SUGAMATA Tetsuo,../players/sugamata_tetsuo.html,Hitachi,570,6,6,0,0,0,0
TANAKA Koji,../players/tanaka_koji.html,Nippon Kokan,565,6,6,0,0,0,0
TOTSUKA Tetsuya,../players/totsuka_tetsuya.html,Yomiuri Soccer Club,238,4,2,3,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,750,8,8,0,0,0,0
YOKOYAMA Masafumi,../players/yokoyama_masafumi.html,Nippon Steel,69,1,1,0,0,0,0
YOSHIDA Hiroshi,../players/yoshida_hiroshi.html,Furukawa Electric,46,1,1,0,0,0,0
