Player,Link,Club,MP,GP,GS,G,PK,YC,RC
GONDA Shuichi (GK),../players/gonda_shuichi.html,FC Tokyo,90,1,1,0,0,0,0
KAWASHIMA Eiji (GK),../players/kawashima_eiji.html,Standard Liege (BEL),480,5,5,0,0,0,0
AOYAMA Toshihiro,../players/aoyama_toshihiro.html,Sanfrecce Hiroshima,90,1,1,1,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,261,4,4,1,0,0,0
FUJIHARU Hiroki,../players/fujiharu_hiroki.html,Gamba Osaka,90,1,1,0,0,0,0
HASEBE Makoto,../players/hasebe_makoto.html,Eintracht Frankfurt (GER),480,5,5,0,0,0,0
HONDA Keisuke,../players/honda_keisuke.html,AC Milan (ITA),491,6,5,4,2,0,0
INUI Takashi,../players/inui_takashi.html,Eintracht Frankfurt (GER),267,5,5,0,0,1,0
KAGAWA Shinji,../players/kagawa_shinji.html,Borussia Dortmund (GER),489,6,5,1,0,0,0
KAWAMATA Kengo,../players/kawamata_kengo.html,Nagoya Grampus,79,2,1,1,0,0,0
KIYOTAKE Hiroshi,../players/kiyotake_hiroshi.html,Hannover 96 (GER),172,4,1,0,0,1,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,Gamba Osaka,79,3,1,0,0,1,0
MORISHIGE Masato,../players/morishige_masato.html,FC Tokyo,480,5,5,0,0,0,0
MAKINO Tomoaki,../players/makino_tomoaki.html,Urawa Reds,90,1,1,0,0,0,0
MIZUMOTO Hiroki,../players/mizumoto_hiroki.html,Sanfrecce Hiroshima,44,1,0,0,0,0,0
MUTO Yoshinori,../players/muto_yoshinori.html,FC Tokyo,191,5,1,0,0,0,0
NAGAI Kensuke,../players/nagai_kensuke.html,Nagoya Grampus,60,1,1,0,0,0,0
NAGATOMO Yuto,../players/nagatomo_yuto.html,Inter Milan (ITA),390,4,4,0,0,0,0
OKAZAKI Shinji,../players/okazaki_shinji.html,1. FSV Mainz 05 (GER),414,6,5,3,0,1,0
OSAKO Yuya,../players/osako_yuya.html,1. FC Koln (GER),18,1,0,0,0,0,0
OTA Kosuke,../players/ota_kosuke.html,FC Tokyo,44,1,0,0,0,0,0
SAKAI Gotoku,../players/sakai_gotoku.html,VfB Stuttgart (GER),480,5,5,0,0,0,0
SAKAI Hiroki,../players/sakai_hiroki.html,Hannover 96 (GER),84,1,1,0,0,0,0
SHIBASAKI Gaku,../players/shibasaki_gaku.html,Kashima Antlers,91,3,0,2,0,0,0
SHOJI Gen,../players/shoji_gen.html,Kashima Antlers,90,1,1,0,0,0,0
TOYODA Yohei,../players/toyoda_yohei.html,Sagan Tosu,65,2,0,0,0,0,0
UCHIDA Atsuto,../players/uchida_atsuto.html,Schalke 04 (GER),52,2,1,0,0,0,0
USAMI Takashi,../players/usami_takashi.html,Gamba Osaka,45,2,0,1,0,0,0
YAMAGUCHI Hotaru,../players/yamaguchi_hotaru.html,Cerezo Osaka,84,1,1,0,0,0,0
YOSHIDA Maya,../players/yoshida_maya.html,Southampton (ENG),480,5,5,1,0,0,0
