Player,Link,Club,MP,GP,GS,G,PK,YC,RC
熊井　俊一 (GK),../players_unknown/34.html,Waseda University,158,2,2,0,0,0,0
金澤　宏 (GK),../players_unknown/40.html,Kyoto Imperial University,112,2,1,0,0,0,0
GOTO Yukio,../players/goto_yukio.html,Kwangaku Club,180,2,2,0,0,0,0
HORIE Tadao,../players/horie_tadao.html,Waseda University,180,2,2,0,0,0,0
KAWAMOTO Taizo,../players/kawamoto_taizo.html,Waseda University,270,3,3,2,0,0,0
MATSUMARU Teiichi,../players/matsumaru_teiichi.html,Keio BRB,106,3,2,0,0,0,0
NISHIMURA Shoichi,../players/nishimura_shoichi.html,Kwansei Gakuin University,180,2,2,1,0,0,0
OTANI Ichiji,../players/otani_ichiji.html,Kobe University of Commerce,270,3,3,1,0,0,0
SUZUKI Yasuo,../players/suzuki_yasuo.html,Waseda University,70,1,1,0,0,0,0
TATSUHARA Motoo,../players/tatsuhara_motoo.html,Waseda University,155,2,2,0,0,0,0
UKON Tokutaro,../players/ukon_tokutaro.html,Keio University,180,2,2,0,0,0,0
安部　輝雄,../players_unknown/35.html,Kwangaku Club,110,2,1,0,0,0,0
川西　隆,../players_unknown/36.html,Kwansei Gakuin University,240,3,2,0,0,0,0
野澤　晁,../players_unknown/37.html,Waseda University,270,3,3,3,0,0,0
堺井　秀雄,../players_unknown/38.html,Kwangaku Club,210,3,3,0,0,0,0
三崎　四郎,../players_unknown/39.html,Kwansei Gakuin University,189,3,1,0,0,0,0
名取　武,../players_unknown/41.html,Waseda University,90,1,1,1,0,0,0
