Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FURUKAWA Yoshio (GK),../players/furukawa_yoshio.html,Dunlop Japan,111,2,1,0,0,0,0
HOSAKA Tsukasa (GK),../players/hosaka_tsukasa.html,Furukawa Electric,489,6,6,0,0,0,0
HIRAKI Ryuzo,../players/hiraki_ryuzo.html,Furukawa Electric,260,3,3,0,0,0,0
ISHII Yoshinobu,../players/ishii_yoshinobu.html,Toyo Kogyo,46,1,1,0,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,554,7,6,1,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Keio University,90,1,1,0,0,0,0
KAWABUCHI Saburo,../players/kawabuchi_saburo.html,Furukawa Electric,471,6,6,2,0,0,0
KAWANISHI Takehiko,../players/kawanishi_takehiko.html,Toyo Kogyo,46,1,1,0,0,0,0
KUWATA Takayuki,../players/kuwata_takayuki.html,Waseda University,194,3,3,1,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,600,7,7,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,600,7,7,1,0,0,0
OZAWA Michihiro,../players/ozawa_michihiro.html,Toyo Kogyo,600,7,7,0,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Meiji University,510,6,6,0,0,0,0
SUZUKI Ryozo,../players/suzuki_ryozo.html,Hitachi Head Office,554,7,6,0,0,0,0
TAKAMORI Yasuo,../players/takamori_yasuo.html,Nippon Kokan,250,3,3,0,0,0,0
TSUGITANI Shozo,../players/tsugitani_shozo.html,Kwansei Gakuin University,180,2,2,0,0,0,0
UCHINO Masao,../players/uchino_masao.html,Furukawa Electric,250,3,3,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,219,3,2,0,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,576,7,6,3,0,0,0
