Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Jubilo Iwata,1140,12,12,0,0,1,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,90,1,1,0,0,0,0
ABE Yuki,../players/abe_yuki.html,Urawa Reds,1020,11,11,1,0,3,0
BANDO Ryuji,../players/bando_ryuji.html,Gamba Osaka,1,1,0,0,0,0,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,1103,13,13,1,0,0,0
FUJIMOTO Jungo,../players/fujimoto_jungo.html,Shimizu S-Pulse,25,4,0,0,0,0,0
HANYU Naotake,../players/hanyu_naotake.html,JEF United Chiba,199,7,0,0,0,1,0
HASHIMOTO Hideo,../players/hashimoto_hideo.html,Gamba Osaka,43,4,0,0,0,0,0
IENAGA Akihiro,../players/ienaga_akihiro.html,Gamba Osaka,5,1,0,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Eintracht Frankfurt (GER),207,3,3,0,0,0,0
KAJI Akira,../players/kaji_akira.html,Gamba Osaka,1018,11,11,1,0,2,0
KOMANO Yuichi,../players/komano_yuichi.html,Sanfrecce Hiroshima,1095,12,12,0,0,0,0
KONNO Yasuyuki,../players/konno_yasuyuki.html,FC Tokyo,251,8,1,0,0,0,0
MAEDA Ryoichi,../players/maeda_ryoichi.html,Jubilo Iwata,149,2,2,1,0,0,0
MAKI Seiichiro,../players/maki_seiichiro.html,JEF United Chiba,511,9,6,4,0,0,0
MATSUI Daisuke,../players/matsui_daisuke.html,Le Mans (FRA),90,2,1,0,0,0,0
MIZUNO Koki,../players/mizuno_koki.html,JEF United Chiba,84,4,0,0,0,0,0
NAKAMURA Kengo,../players/nakamura_kengo.html,Kawasaki Frontale,882,13,9,0,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Celtic (SCO),904,10,10,4,3,1,0
NAKATA Koji,../players/nakata_koji.html,FC Basel (SUI),46,1,1,0,0,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1230,13,13,2,0,1,0
OKUBO Yoshito,../players/okubo_yoshito.html,Vissel Kobe,140,2,2,2,0,0,0
SATO Hisato,../players/sato_hisato.html,Sanfrecce Hiroshima,165,7,0,0,0,0,0
SUZUKI Keita,../players/suzuki_keita.html,Urawa Reds,1178,13,13,0,0,1,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Eintracht Frankfurt (GER),813,9,9,6,0,1,0
TAKAMATSU Daiki,../players/takamatsu_daiki.html,Oita Trinita,31,1,0,0,0,0,0
TANAKA Marcus Tulio,../players/tanaka_marcus_tulio.html,Urawa Reds,360,4,4,1,0,1,0
TANAKA Tatsuya,../players/tanaka_tatsuya.html,Urawa Reds,130,2,2,0,0,0,0
TSUBOI Keisuke,../players/tsuboi_keisuke.html,Urawa Reds,90,1,1,0,0,0,0
YAMAGISHI Satoru,../players/yamagishi_satoru.html,JEF United Chiba,307,5,4,0,0,0,0
YAMASE Koji,../players/yamase_koji.html,Yokohama F. Marinos,40,1,0,1,0,0,0
YANO Kisho,../players/yano_kisho.html,Albirex Niigata,183,7,2,1,0,0,0
