Player,Link,Club,MP,GP,GS,G,PK,YC,RC
本田　長康 (GK → FP),../players_unknown/23.html,Waseda Senior High School,180,2,2,0,0,0,0
西川　潤之 (GK),../players_unknown/29.html,Hosei University,90+?,2,1,0,0,0,0
SUGIMURA Shojiro,../players/sugimura_shojiro.html,Waseda University,?,1,1,0,0,0,0
SUZUKI Shigeyoshi,../players/suzuki_shigeyoshi.html,Waseda WMW,180,2,2,1,1,0,0
TAKAMORO Ko,../players/takamoro_ko.html,Waseda Senior High School,180,2,2,0,0,0,0
TAKENOKOSHI Shigemaru,../players/takenokoshi_shigemaru.html,Tokyo Imperial University,180,2,2,1,0,0,0
TAMAI Misao,../players/tamai_misao.html,Waseda University,180,2,2,1,0,0,0
近藤　台五郎,../players_unknown/24.html,Mito High School,180,2,2,0,0,0,0
有馬　暎夫,../players_unknown/25.html,Waseda WMW,180,2,2,0,0,0,0
朝倉　保,../players_unknown/26.html,Waseda University,180,2,2,0,0,0,0
春山　泰雄,../players_unknown/27.html,Mito High School,180,2,2,0,0,0,0
高橋　茂,../players_unknown/28.html,Waseda University,90+?,2,1,0,0,0,0
瀧　通世,../players_unknown/30.html,Waseda Senior High School,?,1,0,0,0,0,0
