Player,Link,Club,MP,GP,GS,G,PK,YC,RC
DOI Yoichi (GK),../players/doi_yoichi.html,FC Tokyo,165,2,2,0,0,0,0
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,FC Nordsjaelland (DEN),1050,11,11,0,0,2,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,810,9,9,0,0,0,0
TSUZUKI Ryota (GK),../players/tsuzuki_ryota.html,Urawa Reds,15,1,0,0,0,0,0
CHANO Takayuki,../players/chano_takayuki.html,JEF United Ichihara,270,3,3,0,0,1,0
ENDO Yasuhito,../players/endo_yasuhito.html,Gamba Osaka,1078,16,12,2,0,0,1
FUJITA Toshiya,../players/fujita_toshiya.html,Jubilo Iwata,534,10,6,1,0,2,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,1314,18,14,5,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Fulham (ENG) → WBA (ENG),450,6,6,0,0,1,0
ISHIKAWA Naohiro,../players/ishikawa_naohiro.html,FC Tokyo,15,1,0,0,0,0,0
KAJI Akira,../players/kaji_akira.html,FC Tokyo,1657,20,17,0,0,3,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Yokohama F. Marinos,564,9,7,6,0,1,0
KUROBE Teruaki,../players/kurobe_teruaki.html,Kyoto Purple Sanga,15,1,0,0,0,0,0
MATSUDA Naoki,../players/matsuda_naoki.html,Yokohama F. Marinos,139,3,1,0,0,0,0
MIURA Atsuhiro,../players/miura_atsuhiro.html,Tokyo Verdy 1969,184,6,1,0,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,1715,19,19,2,0,0,0
MONIWA Teruyuki,../players/moniwa_teruyuki.html,FC Tokyo,27,1,0,0,0,0,0
MOTOYAMA Masashi,../players/motoyama_masashi.html,Kashima Antlers,512,12,3,0,0,0,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Reggina (ITA),1267,15,14,3,0,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,Bologna (ITA),180,2,2,0,0,1,0
NAKATA Koji,../players/nakata_koji.html,Kashima Antlers,411,6,3,2,0,1,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Yokohama F. Marinos,1303,15,14,5,0,0,0
NISHI Norihiro,../players/nishi_norihiro.html,Jubilo Iwata,152,5,2,0,0,1,0
OGASAWARA Mitsuo,../players/ogasawara_mitsuo.html,Kashima Antlers,634,12,5,2,0,1,0
OKU Daisuke,../players/oku_daisuke.html,Yokohama F. Marinos,15,1,0,0,0,0,0
OKUBO Yoshito,../players/okubo_yoshito.html,Cerezo Osaka,62,3,0,0,0,0,0
ONO Shinji,../players/ono_shinji.html,Feyenoord (NED),570,7,7,2,0,1,0
SANTOS Alessandro,../players/santos_alessandro.html,Urawa Reds,1907,22,21,2,1,5,0
SUZUKI Takayuki,../players/suzuki_takayuki.html,Heusden-Zolder (BEL) → Kashima Antlers,1222,18,12,6,0,3,0
TAKAHARA Naohiro,../players/takahara_naohiro.html,Hamburger SV (GER),385,5,5,1,0,0,0
TAMADA Keiji,../players/tamada_keiji.html,Kashiwa Reysol,1202,18,15,5,0,1,0
TANAKA Makoto,../players/tanaka_makoto.html,Jubilo Iwata,1087,14,13,0,0,3,0
TSUBOI Keisuke,../players/tsuboi_keisuke.html,Urawa Reds,786,10,10,0,0,0,0
YAMADA Nobuhisa,../players/yamada_nobuhisa.html,Urawa Reds,243,3,3,1,0,0,0
YAMADA Takuya,../players/yamada_takuya.html,Tokyo Verdy 1969,99,3,2,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Sampdoria (ITA) → Messina (ITA),326,8,3,2,0,0,0
