Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUI Kiyotaka (GK),../players/matsui_kiyotaka.html,Nippon Kokan,180,2,2,0,0,0,0
MATSUNAGA Shigetatsu (GK),../players/matsunaga_shigetatsu.html,Nissan Motor,90,1,1,0,0,0,0
MORISHITA Shinichi (GK),../players/morishita_shinichi.html,Yamaha,180,2,2,0,0,0,0
ASAOKA Tomoyasu,../players/asaoka_tomoyasu.html,Nippon Kokan / NKK,120+?,5,3,0,0,0,0
FUJISHIRO Nobuyo,../players/fujishiro_nobuyo.html,Nippon Kokan,90+?,2,1,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Mitsubishi Heavy Industries,116,2,1,0,0,0,0
HASHIRATANI Tetsuji,../players/hashiratani_tetsuji.html,Nissan Motor,424,5,5,1,0,0,0
HIRAKAWA Hiroshi,../players/hirakawa_hiroshi.html,Nissan Motor,360,4,4,0,0,0,0
HORIIKE Takumi,../players/horiike_takumi.html,Yomiuri Soccer Club,90,1,1,0,0,0,0
IHARA Masami,../players/ihara_masami.html,University of Tsukuba,450,5,5,0,0,0,0
KAJINO Tomoyuki,../players/kajino_tomoyuki.html,Yanmar,90,1,1,0,0,0,0
KUSAKI Katsuhiro,../players/kusaki_katsuhiro.html,Yanmar,154,2,2,0,0,0,0
MAEDA Osamu,../players/maeda_osamu.html,Tokai University → ANA Soccer Club,450,5,5,1,0,0,0
MIZUNUMA Takashi,../players/mizunuma_takashi.html,Nissan Motor,270,3,3,0,0,0,0
MOCHIZUKI Satoshi,../players/mochizuki_satoshi.html,Nippon Kokan,180+?,3,2,0,0,0,0
MORI Masaaki,../players/mori_masaaki.html,Fujita,86,1,1,0,0,0,0
NATORI Atsushi,../players/natori_atsushi.html,Mitsubishi Heavy Industries,90,1,1,0,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Yanmar,90,1,1,0,0,0,0
SANO Toru,../players/sano_toru.html,Nissan Motor,450,5,5,0,0,0,0
SASAKI Masanao,../players/sasaki_masanao.html,Honda Motor,180,2,2,0,0,0,0
SHINTO Katsuyoshi,../players/shinto_katsuyoshi.html,Mazda,270,3,3,0,0,0,0
SUGANO Yuji,../players/sugano_yuji.html,Toyota Motor,?,1,1,0,0,0,0
TEZUKA Satoshi,../players/tezuka_satoshi.html,Fujita,180+?,3,2,0,0,0,0
YOSHIDA Mitsunori,../players/yoshida_mitsunori.html,Yamaha,90,1,1,0,0,0,0
