Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FUNAMOTO Koji (GK),../players/funamoto_koji.html,Toyo Kogyo,?,1,0,0,0,0,0
YOKOYAMA Kenzo (GK),../players/yokoyama_kenzo.html,Mitsubishi Heavy Industries,360+?,5,5,0,0,0,0
KAMAMOTO Kunishige,../players/kamamoto_kunishige.html,Yanmar,450,5,5,11,0,0,0
KAMATA Mitsuo,../players/kamata_mitsuo.html,Furukawa Electric,180,2,2,0,0,0,0
KAMI Hisao,../players/kami_hisao.html,Yawata Iron & Steel,360,4,4,0,0,0,0
KATAYAMA Hiroshi,../players/katayama_hiroshi.html,Mitsubishi Heavy Industries,450,5,5,0,0,0,0
KIMURA Takeo,../players/kimura_takeo.html,Furukawa Electric,46,1,1,0,0,0,0
KUWAHARA Yasuyuki,../players/kuwahara_yasuyuki.html,Toyo Kogyo,44,1,0,1,0,0,0
MATSUMOTO Ikuo,../players/matsumoto_ikuo.html,Toyo Kogyo,134+?,3,2,0,0,0,0
MIYAMOTO Masakatsu,../players/miyamoto_masakatsu.html,Furukawa Electric,90,1,1,0,0,0,0
MIYAMOTO Teruki,../players/miyamoto_teruki.html,Yawata Iron & Steel,450,5,5,5,0,0,0
MORI Takaji,../players/mori_takaji.html,Mitsubishi Heavy Industries,450,5,5,1,0,0,0
OGI Aritatsu,../players/ogi_aritatsu.html,Toyo Kogyo,406,5,5,3,0,0,0
SUGIYAMA Ryuichi,../players/sugiyama_ryuichi.html,Mitsubishi Heavy Industries,450,5,5,4,0,0,0
TOMIZAWA Kiyoshi,../players/tomizawa_kiyoshi.html,Yawata Iron & Steel,90,1,1,0,0,0,0
WATANABE Masashi,../players/watanabe_masashi.html,Yawata Iron & Steel,180+?,3,2,1,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Furukawa Electric,270,3,3,0,0,0,0
YAMAGUCHI Yoshitada,../players/yamaguchi_yoshitada.html,Hitachi Head Office,360,4,4,0,0,0,0
