Player,Link,Club,MP,GP,GS,G,PK,YC,RC
FURUKAWA Yoshio (GK),../players/furukawa_yoshio.html,Kansai University,300,3,3,0,0,0,0
HIRAKI Ryuzo,../players/hiraki_ryuzo.html,Kwansei Gakuin University,300,3,3,0,0,0,0
IWABUCHI Isao,../players/iwabuchi_isao.html,Keio BRB,300,3,3,1,0,0,0
IWATANI Toshio,../players/iwatani_toshio.html,Osaka Club,120,1,1,0,0,0,0
KOBAYASHI Tadao,../players/kobayashi_tadao.html,Keio BRB,300,3,3,0,0,0,0
OMURA Waichiro,../players/omura_waichiro.html,Tanabe Seiyaku,300,3,3,0,0,0,0
OZAWA Michihiro,../players/ozawa_michihiro.html,Toyo Kogyo,300,3,3,0,0,0,0
SATO Hiroaki,../players/sato_hiroaki.html,Kwangaku Club,300,3,3,0,0,0,0
TAKAMORI Yasuo,../players/takamori_yasuo.html,Rikkyo University,300,3,3,0,0,0,0
TOKITA Masanori,../players/tokita_masanori.html,Tanabe Seiyaku,180,2,2,0,0,0,0
UCHINO Masao,../players/uchino_masao.html,Chuo University,300,3,3,1,0,0,0
YAEGASHI Shigeo,../players/yaegashi_shigeo.html,Waseda University,300,3,3,0,0,0,0
