Player,Link,Club,MP,GP,GS,G,PK,YC,RC
HONNAMI Kenji (GK),../players/honnami_kenji.html,Gamba Osaka,224,3,2,0,0,0,0
KIKUCHI Shinkichi (GK),../players/kikuchi_shinkichi.html,Verdy Kawasaki,450,5,5,0,0,0,0
MAEKAWA Kazuya (GK),../players/maekawa_kazuya.html,Sanfrecce Hiroshima,136,2,2,0,0,0,0
ASANO Tetsuya,../players/asano_tetsuya.html,Urawa Reds,159,3,2,1,0,0,0
ENDO Masahiro,../players/endo_masahiro.html,Jubilo Iwata,643,8,7,0,0,1,0
HASEGAWA Kenta,../players/hasegawa_kenta.html,Shimizu S-Pulse,106,2,1,0,0,0,0
HASHIRATANI Tetsuji,../players/hashiratani_tetsuji.html,Verdy Kawasaki,810,9,9,1,0,3,0
IHARA Masami,../players/ihara_masami.html,Yokohama Marinos,810,9,9,1,0,1,0
IWAMOTO Teruo,../players/iwamoto_teruo.html,Bellmare Hiratsuka,601,9,7,2,0,2,0
KITAZAWA Tsuyoshi,../players/kitazawa_tsuyoshi.html,Verdy Kawasaki,386,7,3,1,0,2,0
KONDO Koji,../players/kondo_koji.html,Gamba Osaka,180,2,2,0,0,0,0
KUROSAKI Hisashi,../players/kurosaki_hisashi.html,Kashima Antlers,90,1,1,0,0,0,0
MAEZONO Masakiyo,../players/maezono_masakiyo.html,Yokohama Flugels,480,6,6,0,0,1,0
MIURA Kazuyoshi,../players/miura_kazuyoshi.html,Verdy Kawasaki → Genoa (ITA),707,8,8,5,1,2,0
MORIYAMA Yoshiro,../players/moriyama_yoshiro.html,Sanfrecce Hiroshima,614,7,7,0,0,0,0
MORIYASU Hajime,../players/moriyasu_hajime.html,Sanfrecce Hiroshima,221,4,2,0,0,0,0
NARAHASHI Akira,../players/narahashi_akira.html,Bellmare Hiratsuka,16,1,0,0,0,0,0
NATSUKA Yoshihiro,../players/natsuka_yoshihiro.html,Bellmare Hiratsuka,810,9,9,1,0,2,0
OGURA Takafumi,../players/ogura_takafumi.html,Nagoya Grampus Eight,208,5,2,1,0,0,0
OTAKE Naoto,../players/otake_naoto.html,Yokohama Flugels,9,1,0,0,0,0,0
SATO Yoshiaki,../players/sato_yoshiaki.html,Urawa Reds,46,1,1,0,0,0,0
SAWANOBORI Masaaki,../players/sawanobori_masaaki.html,Shimizu S-Pulse,518,6,6,1,0,1,0
TAKAGI Takuya,../players/takagi_takuya.html,Sanfrecce Hiroshima,298,5,3,2,0,0,0
TAKEDA Nobuhiro,../players/takeda_nobuhiro.html,Verdy Kawasaki,150,2,2,0,0,0,0
YAMADA Takahiro,../players/yamada_takahiro.html,Yokohama Marinos,73,1,1,0,0,0,0
YAMAGUCHI Toshihiro,../players/yamaguchi_toshihiro.html,Gamba Osaka,165,2,2,0,0,0,0
