Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KAWAGUCHI Yoshikatsu (GK),../players/kawaguchi_yoshikatsu.html,Yokohama F. Marinos,810,9,9,0,0,1,0
NARAZAKI Seigo (GK),../players/narazaki_seigo.html,Nagoya Grampus Eight,90,1,1,0,0,0,0
SOGAHATA Hitoshi (GK),../players/sogahata_hitoshi.html,Kashima Antlers,90,1,1,0,0,0,0
TSUZUKI Ryota (GK),../players/tsuzuki_ryota.html,Gamba Osaka,180,2,2,0,0,0,0
FUJIMOTO Chikara,../players/fujimoto_chikara.html,Sanfrecce Hiroshima,47,2,1,0,0,0,0
FUKUNISHI Takashi,../players/fukunishi_takashi.html,Jubilo Iwata,29,2,0,0,0,0,0
HATO Yasuhiro,../players/hato_yasuhiro.html,Yokohama F. Marinos,822,10,10,0,0,0,0
HATTORI Toshihiro,../players/hattori_toshihiro.html,Jubilo Iwata,561,11,4,1,0,1,0
HIROYAMA Nozomi,../players/hiroyama_nozomi.html,Cerro Porteno (PAR),59,2,0,0,0,0,0
INAMOTO Junichi,../players/inamoto_junichi.html,Gamba Osaka → Arsenal (ENG),871,11,11,1,0,2,0
ITO Teruyoshi,../players/ito_teruyoshi.html,Shimizu S-Pulse,678,11,7,0,0,0,0
JO Shoji,../players/jo_shoji.html,Yokohama F. Marinos,21,1,0,0,0,0,0
KUBO Tatsuhiko,../players/kubo_tatsuhiko.html,Sanfrecce Hiroshima,43,2,0,0,0,0,0
MATSUDA Naoki,../players/matsuda_naoki.html,Yokohama F. Marinos,878,10,10,0,0,1,0
MIURA Atsuhiro,../players/miura_atsuhiro.html,Tokyo Verdy 1969,97,3,0,0,0,0,0
MIYAMOTO Tsuneyasu,../players/miyamoto_tsuneyasu.html,Gamba Osaka,202,3,2,0,0,1,0
MOCHIZUKI Shigeyoshi,../players/mochizuki_shigeyoshi.html,Vissel Kobe,21,1,0,0,0,0,0
MORIOKA Ryuzo,../players/morioka_ryuzo.html,Shimizu S-Pulse,906,11,11,0,0,2,0
MORISHIMA Hiroaki,../players/morishima_hiroaki.html,Cerezo Osaka,550,9,6,1,0,1,0
MYOJIN Tomokazu,../players/myojin_tomokazu.html,Kashiwa Reysol,293,7,3,0,0,1,0
NAKAMURA Shunsuke,../players/nakamura_shunsuke.html,Yokohama F. Marinos,46,1,1,0,0,0,0
NAKATA Hidetoshi,../players/nakata_hidetoshi.html,AS Roma (ITA) → Parma (ITA),545,7,6,1,0,0,0
NAKATA Koji,../players/nakata_koji.html,Kashima Antlers,1002,13,11,0,0,2,0
NAKAYAMA Masashi,../players/nakayama_masashi.html,Jubilo Iwata,156,8,0,1,1,0,0
NAKAZAWA Yuji,../players/nakazawa_yuji.html,Tokyo Verdy 1969,17,2,0,0,0,0,0
NANAMI Hiroshi,../players/nanami_hiroshi.html,Jubilo Iwata,170,2,2,0,0,0,0
NISHIZAWA Akinori,../players/nishizawa_akinori.html,RCD Espanyol (ESP) → Bolton Wanderers (ENG),461,8,6,1,0,0,0
OKU Daisuke,../players/oku_daisuke.html,Jubilo Iwata,104,4,1,0,0,0,0
ONO Shinji,../players/ono_shinji.html,Urawa Reds → Feyenoord (NED),567,9,9,1,0,0,0
SUZUKI Takayuki,../players/suzuki_takayuki.html,Kashima Antlers,613,10,7,3,0,1,1
TAKAHARA Naohiro,../players/takahara_naohiro.html,Jubilo Iwata → Boca Juniors (ARG),220,4,3,0,0,1,0
TODA Kazuyuki,../players/toda_kazuyuki.html,Shimizu S-Pulse,897,10,10,0,0,4,0
UEMURA Kenichi,../players/uemura_kenichi.html,Sanfrecce Hiroshima,285,4,3,0,0,0,0
YAMASHITA Yoshiteru,../players/yamashita_yoshiteru.html,Avispa Fukuoka,61,2,1,0,0,0,0
YANAGISAWA Atsushi,../players/yanagisawa_atsushi.html,Kashima Antlers,444,6,5,5,0,0,0
