Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KATO Yoshio (GK),../players/kato_yoshio.html,Furukawa Electric,270,3,3,0,0,0,0
SETA Tatsuhiko (GK),../players/seta_tatsuhiko.html,Hitachi,90,1,1,0,0,0,0
SUZUKI Yasuhito (GK),../players/suzuki_yasuhito.html,Yanmar,390,4,4,0,0,0,0
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Waseda University,312,5,3,2,0,0,0
HASEGAWA Haruhisa,../players/hasegawa_haruhisa.html,Osaka University of Commerce → Yanmar,646+?,9,7,4,0,0,0
IMAI Keizo,../players/imai_keizo.html,Fujita,360,4,4,0,0,1,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Chuo University → Nissan Motor,825+?,12,11,2,0,1,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,270,3,3,0,0,0,0
KAZAMA Yahiro,../players/kazama_yahiro.html,University of Tsukuba,390,4,4,0,0,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Meiji University,572+?,9,7,4,0,0,0
KISHIOKU Yuji,../players/kishioku_yuji.html,Nippon Steel,450,5,5,2,0,1,0
KIYOKUMO Eijun,../players/kiyokumo_eijun.html,Furukawa Electric,450,5,5,0,0,0,0
KOSHIDA Takeshi,../players/koshida_takeshi.html,University of Tsukuba,87,1,1,0,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Furukawa Electric,1020,11,11,3,1,1,0
NAGAI Yoshikazu,../players/nagai_yoshikazu.html,Furukawa Electric,69+?,2,2,0,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Osaka University of Health and Sport Sciences,?,1,0,0,0,0,0
OCHIAI Hiroshi,../players/ochiai_hiroshi.html,Mitsubishi Heavy Industries,450,5,5,0,0,0,0
OKADA Takeshi,../players/okada_takeshi.html,Furukawa Electric,39+?,3,0,0,0,0,0
OMI Yukitaka,../players/omi_yukitaka.html,Yomiuri Soccer Club,434,5,5,0,0,0,0
SAKASHITA Hiroyuki,../players/sakashita_hiroyuki.html,University of Tsukuba,4,1,0,0,0,0,0
SOEJIMA Hiroshi,../players/soejima_hiroshi.html,Yanmar,141+?,3,3,0,0,0,0
SUDO Shigemitsu,../players/sudo_shigemitsu.html,Hitachi,746,8,8,0,0,0,0
SUGAMATA Tetsuo,../players/sugamata_tetsuo.html,Hitachi,660,7,7,0,0,0,0
TAKAHARA Ikuo,../players/takahara_ikuo.html,Mitsubishi Heavy Industries,37+?,4,0,2,0,0,0
TANAKA Shinji,../players/tanaka_shinji.html,Chuo University,133+?,4,2,0,0,0,0
TASHIMA Kozo,../players/tashima_kozo.html,Furukawa Electric,70+?,3,3,1,0,0,0
TEZUKA Satoshi,../players/tezuka_satoshi.html,Chuo University,20+?,2,0,0,0,0,0
TOTSUKA Tetsuya,../players/totsuka_tetsuya.html,Yomiuri Soccer Club,377,4,4,0,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,131,3,2,0,0,0,1
USUI Hiroyuki,../players/usui_hiroyuki.html,Hitachi,327+?,5,5,3,0,0,0
YAMAMOTO Masakuni,../players/yamamoto_masakuni.html,Kokushikan University,30,2,0,0,0,0,0
YAMANO Takayoshi,../players/yamano_takayoshi.html,Yanmar,110,2,1,0,0,0,0
YOKOYAMA Masafumi,../players/yokoyama_masafumi.html,Nippon Steel,988+?,12,12,2,0,0,0
