Player,Link,Club,MP,GP,GS,G,PK,YC,RC
KATO Yoshio (GK),../players/kato_yoshio.html,Furukawa Electric,360+?,5,5,0,0,0,0
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
TSUBOTA Kazumi (GK),../players/tsubota_kazumi.html,Yanmar,450,5,5,0,0,0,0
YAMAGUCHI Satoshi (GK),../players/yamaguchi_satoshi_19590801.html,Mitsubishi Heavy Industries,?,1,0,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Waseda University → Mitsubishi Heavy Industries,690+?,10,8,1,0,0,0
HASEGAWA Haruhisa,../players/hasegawa_haruhisa.html,Yanmar,90,1,1,0,0,0,0
HASHIRATANI Koichi,../players/hashiratani_koichi.html,Kokushikan University,615+?,9,8,0,0,0,0
ITO Naoji,../players/ito_naoji.html,Honda Motor,?,1,0,0,0,0,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Nissan Motor,378+?,6,5,0,0,0,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,720,8,8,1,1,0,0
KATO Masaaki,../players/kato_masaaki.html,Toshiba,90+?,3,3,1,0,0,0
KAWAKATSU Ryoichi,../players/kawakatsu_ryoichi.html,Hosei University → Toshiba,706+?,10,9,0,0,0,0
KAZAMA Yahiro,../players/kazama_yahiro.html,University of Tsukuba,358+?,8,4,0,0,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Meiji University,74,1,1,0,0,0,0
KOSHIDA Takeshi,../players/koshida_takeshi.html,University of Tsukuba,44,1,1,0,0,0,1
MAEDA Hideki,../players/maeda_hideki.html,Furukawa Electric,820+?,11,9,0,0,0,0
MATSUURA Toshio,../players/matsuura_toshio.html,Nippon Kokan,195+?,4,2,1,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Osaka University of Health and Sport Sciences → Yanmar,1142,13,12,0,0,0,0
NOMURA Mitsugu,../players/nomura_mitsugu.html,Fujita,720,8,8,0,0,0,0
OKADA Takeshi,../players/okada_takeshi.html,Furukawa Electric,360+?,5,5,0,0,0,0
OKIMUNE Toshihiko,../players/okimune_toshihiko.html,Fujitsu,46+?,2,1,0,0,0,0
OZAKI Kazuo,../players/ozaki_kazuo.html,Mitsubishi Heavy Industries,660+?,9,8,2,0,0,0
SONOBE Tsutomu,../players/sonobe_tsutomu.html,Fujita,180+?,3,2,0,0,0,0
SUDO Shigemitsu,../players/sudo_shigemitsu.html,Hitachi,304,4,3,0,0,0,0
SUGAMATA Tetsuo,../players/sugamata_tetsuo.html,Hitachi,208,3,3,0,0,0,0
TANAKA Shinji,../players/tanaka_shinji.html,Chuo University,630+?,8,7,0,0,0,0
TEZUKA Satoshi,../players/tezuka_satoshi.html,Chuo University → Fujita,136+?,6,4,0,0,0,0
TOTSUKA Tetsuya,../players/totsuka_tetsuya.html,Yomiuri Soccer Club,522+?,8,7,0,0,0,1
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,630,7,7,0,0,0,0
YAMAMOTO Masakuni,../players/yamamoto_masakuni.html,Kokushikan University,180,2,2,0,0,0,0
YOKOYAMA Masafumi,../players/yokoyama_masafumi.html,Nippon Steel,496+?,9,8,6,0,0,0
YOSHIDA Hiroshi,../players/yoshida_hiroshi.html,Furukawa Electric,344,6,4,1,0,0,0
