Player,Link,Club,MP,GP,GS,G,PK,YC,RC
MATSUI Kiyotaka (GK),../players/matsui_kiyotaka.html,Nippon Kokan,180,2,2,0,0,0,0
TAGUCHI Mitsuhisa (GK),../players/taguchi_mitsuhisa.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
TSUBOTA Kazumi (GK),../players/tsubota_kazumi.html,Yanmar,90,1,1,0,0,0,0
HARA Hiromi,../players/hara_hiromi.html,Mitsubishi Heavy Industries,581,7,6,5,0,0,0
HASHIRATANI Koichi,../players/hashiratani_koichi.html,Nissan Motor,353,5,4,1,0,0,0
IKEUCHI Yutaka,../players/ikeuchi_yutaka.html,Fujita,90,1,1,0,0,0,0
ISHIGAMI Yoshinori,../players/ishigami_yoshinori.html,Yamaha,90,1,1,0,0,0,0
KANEDA Nobutoshi,../players/kaneda_nobutoshi.html,Nissan Motor,540,6,6,1,0,0,0
KATO Hisashi,../players/kato_hisashi.html,Yomiuri Soccer Club,540,6,6,1,1,0,0
KIMURA Kazushi,../players/kimura_kazushi.html,Nissan Motor,595,7,7,4,1,0,0
KOSHIDA Takeshi,../players/koshida_takeshi.html,Nissan Motor,270,3,3,0,0,0,0
MAEDA Hideki,../players/maeda_hideki.html,Furukawa Electric,208,3,2,0,0,0,0
MATSUKI Yasutaro,../players/matsuki_yasutaro.html,Yomiuri Soccer Club,270,3,3,0,0,0,0
MATSUURA Toshio,../players/matsuura_toshio.html,Nippon Kokan,36,1,0,0,0,0,0
MIYAUCHI Satoshi,../players/miyauchi_satoshi.html,Furukawa Electric,31,1,0,0,0,0,0
MIZUNUMA Takashi,../players/mizunuma_takashi.html,Nissan Motor,338,5,4,1,0,0,0
NISHIMURA Akihiro,../players/nishimura_akihiro.html,Yanmar,90,1,1,0,0,0,0
OKADA Takeshi,../players/okada_takeshi.html,Furukawa Electric,330,4,4,0,0,1,0
SAITO Kazuo,../players/saito_kazuo.html,Mitsubishi Heavy Industries,360,4,4,0,0,0,0
SUGAMATA Tetsuo,../players/sugamata_tetsuo.html,Hitachi,90,1,1,0,0,0,0
TANAKA Koji,../players/tanaka_koji.html,Nippon Kokan,502,6,5,0,0,0,0
TANAKA Shinji,../players/tanaka_shinji.html,Nissan Motor,180,2,2,0,0,0,0
TANINAKA Osamu,../players/taninaka_osamu.html,Fujita,7,1,0,0,0,0,0
TSUNAMI Satoshi,../players/tsunami_satoshi.html,Yomiuri Soccer Club,450,5,5,0,0,2,0
UCHIYAMA Atsushi,../players/uchiyama_atsushi.html,Yamaha,59,1,1,0,0,0,0
USUI Hiroyuki,../players/usui_hiroyuki.html,Hitachi,241,3,3,2,0,0,0
YOKOYAMA Masafumi,../players/yokoyama_masafumi.html,Nippon Steel,49,1,1,0,0,0,0
